company,claim,specificity_score,sentiment_score,sentiment_method,deforestation,traceability,ndpe,peat,deadline,strength,specificity,esg_category,esg_category_score,climate_sentiment,climate_sentiment_score
apical,"By converting waste streams into renewable fuels, Apical contributes to
the advancement of circular resource management while supporting the decarbonisation of hard-to-abate
Please see Appendix 5A-5C, pages 107 - 108, for the breakdown of waste generated, diverted from disposal and directed to disposal.",0.5638463497161865,0.5412980979308486,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9845,opportunity,0.7984
apical,"5 According to the International Air Transport Association (IATA), SAF can reduce lifecycle CO₂ emissions by up to 80%, depending on the
feedstock and production pathway.",0.6476375460624695,0.8599192136898637,finbert,False,False,False,False,,soft,spec,Air_Quality,0.9627,neutral,0.6545
apical,"Rather than increasing water reuse, these efforts aim
energy performance while maintaining operational derive 38% of total energy use from renewable and to optimise processes so that less water is required to achieve the same outcomes.",0.632253110408783,0.7957702134735882,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9706,opportunity,0.8764
apical,"Despite the increase in withdrawal, total water consumption decreased by 8.18%
Green Innovation Initiatives 2025 compared to 2024, while water use intensity improved by 10.2%, from 0.000588 ML/t to 0.000528 ML/t of oil
processed.",0.931097447872162,0.1518333926796913,finbert,False,False,False,False,2025.0,soft,spec,Water_And_Wastewater_Management,0.9735,opportunity,0.5026
apical,"A total of 56,065 MT
consumption (2023 - 2025) (%) of wood bark was utilised by our KRNR power plant
compared to 120,000 MT in 2024.",0.9665656685829164,0.6900067627429962,finbert,False,False,False,False,2025.0,soft,spec,Energy_Management,0.9719,neutral,0.5758
apical,"2023 2024 2025 To further improve our reliance on energy from the
grid, we are also exploring opportunities to increase
2023 2024 2025
For the 2025 reporting period, Apical’s total energy the use of various biomass feedstocks to replace
consumption was 21,181,507 GJ.",0.9609109163284302,0.8440465228632092,finbert,False,False,False,False,2025.0,soft,spec,Energy_Management,0.9808,opportunity,0.8747
apical,"In China, wastewater management is regulated (BOD) / mg/L (COD) / mg/L
to improve water use intensity by 30% (see Water Where feasible, treated wastewater is reused for by the Ministry of Ecology and Environment.",0.7021767497062683,0.8658038785215467,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9724,neutral,0.8836
apical,"These
National limit 150 500
• Reused treated wastewater from the controls and treatments support responsible water
wastewater treatment plants for non-potable management and pollution prevention.",0.5085153579711914,0.5555515387095511,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9714,neutral,0.821
apical,"We apply a Water circularity focuses on reducing reliance on freshwater by extending the use of water within our
• Utilises a reverse osmosis system to reduce
reference value of 200 mgO₂/L, in line with regional operations.",0.5468329191207886,0.8815479418262839,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9764,neutral,0.707
apical,"This includes exploring opportunities for water reuse, recycling, and closed-loop systems where
monthly water usage by 30%
regulatory guidance8.",0.6268866062164307,0.6523507316596806,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9763,opportunity,0.6587
apical,"Managing Effluents 6 Resolution of the Regional Office for Sustainable Development in Apical advances water circularity by treating and reusing wastewater to minimise freshwater withdrawal and
Huelva declaring the modification of the industrial facilities linked reduce effluent discharge by reusing treated water for cooling towers, fire hydrants and domestic cleaning.",0.5393128395080566,0.5870962990447879,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9754,opportunity,0.6903
apical,"We are committed to responsible wastewater to the Integrated Environmental Authorisation of the biodiesel All effluent discharge from our facilities across Indonesia, China and Spain is within the national allowable
“La Rábida”, located in the municipality of Palos de la Frontera
management by ensuring that all palm oil refinery limit as it is closely monitored and treated before discharging them into the environment.",0.5116592645645142,0.5585630815476179,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.946,neutral,0.9311
apical,"effluent (PORE) from our refineries and 7 Regional Ministry of Agriculture, Livestock, Fisheries and
oleochemical facilities is thoroughly treated, tested Sustainable Development, Regional Office for Sustainable Since 2024, our SDOM refinery has utilised a reverse osmosis system within its waste water treatment plant
and externally verified.",0.5332709550857544,0.8512336490675807,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.659,neutral,0.9176
apical,"to recycle water for use in the cooling tower, saving approximately 30 m³ per day through increased water
8 Decree 109/2015 of 17 March, approving the Regulations on
designed to ensure that key quality parameters such reuse.",0.7157883048057556,0.7871934715658426,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9595,opportunity,0.5932
apical,"At AAJM, treated effluent is also recycled for cooling tower operations, with approximately 300 m³ per
Discharges into the Public Water Domain and the Public Maritime-
as biological oxygen demand (BOD) and chemical Terrestrial Domain of Andalusia.",0.5829919576644897,0.5269304583780468,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9364,neutral,0.5794
apical,"Our refinery in Padang utilises a rainwater harvesting system as an alternative water source,
oxygen demand (COD), consistently remain within reducing freshwater withdrawal and harvesting approximately 4,109 m3 of rainwater in 2025.",0.8676196932792664,0.9365158756263554,finbert,False,False,False,False,2025.0,soft,spec,Water_And_Wastewater_Management,0.9777,opportunity,0.7921
astraagro,"100% deforestation-free products
2.",0.7086426615715027,0.5374007830396295,finbert,True,False,False,False,,hard,spec,Product_Design_And_Lifecycle_Management,0.5541,neutral,0.4926
astraagro,"Inclusion
• Energy Management Commitment to support
Renewable energy by 93.4% in 2030.",0.8520708680152893,0.9252993799746037,finbert,False,False,False,False,2030.0,soft,spec,Energy_Management,0.9776,opportunity,0.5832
astraagro,"Management
Reduce water withdrawal intensity by
24% in 2030.",0.8495773077011108,0.3574144430458545,finbert,False,False,False,False,2030.0,soft,spec,Water_And_Wastewater_Management,0.976,neutral,0.9177
astraagro,"• Solid Waste Management
100% solid waste recycling.",0.641381561756134,0.5381382987834513,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9845,neutral,0.6481
astraagro,"By the end of 2025, the Company has successfully
reduced emissions by 35.69% of the 30% target.",0.9419193863868712,0.9574477067217232,finbert,False,False,False,False,2025.0,soft,spec,GHG_Emissions,0.623,neutral,0.8788
astraagro,"Reduction of riparian fertilizer, mangrove rehabilitation,
and carbon sequestration from existing conservation area
7.",0.593576967716217,0.5795315778814256,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.98,opportunity,0.4922
astraagro,"across Astra Agro’s 31 mills will be achieved by • 100% of FFB supply sources (from partner networks to
the end of 2021 and will be followed by mapping smallholders) are traceable.",0.7367017865180969,0.5937974452972412,finbert,False,True,False,False,,soft,spec,Supply_Chain_Management,0.9218,neutral,0.8741
astraagro,"Decarbonization initiatives included
melalui upaya dekarbonisasi yaitu pengembangan the development of additional methane capture
fasilitas methane capture, yang meningkatkan facilities to enhance energy efficiency and reduce
efisiensi energi dan mengurangi ketergantungan fossil fuel dependency, optimization of the Water
pada bahan bakar fosil.",0.648632824420929,0.6428788162302226,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9672,opportunity,0.8982
astraagro,"Selain itu, optimalisasi Water Management System (WMS) to reduce diesel
Management System (WMS) berhasil menekan consumption, and the implementation of ASTEMIC
penggunaan solar, sementara penerapan pupuk (Astra Efficient Microbes) biofertilizer to reduce
hayati ASTEMIC (Astra Efficient Microbes) mampu inorganic fertilizer usage and improve soil health.",0.6298342943191528,0.8273138841614127,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9581,opportunity,0.9009
astraagro,"Methane gas generated from the
ditangkap dan dimanfaatkan kembali sebagai waste treatment process is captured and
energi, sehingga mengurangi ketergantungan reused as an energy source, reducing reliance
penggunaan pada bahan bakar fosil dan on fossil fuels and palm kernel shells usage.",0.7320842742919922,0.6653643934987485,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9569,opportunity,0.7682
astraagro,"Langkah ini meningkatkan efisiensi This initiative enhances energy efficiency while
energi sekaligus menurunkan emisi GRK secara significantly lowering GHG emissions.",0.7933079600334167,0.915899840183556,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.9074,opportunity,0.9268
astraagro,"In addition, the Company is
mencegah kehilangan habitat satwa liar dan committed to preventing wildlife habitat loss and
melarang segala bentuk perburuan terhadap strictly prohibits all forms of hunting of wildlife.",0.5807703137397766,0.5060539171099663,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9754,neutral,0.8486
astraagro,"Selain itu, aplikasi continued to be utilized as organic matter sources
TKKS dan Palm Oil Mill Effluent (POME) terus to sustainably support soil fertility.",0.6018983721733093,0.8151607434265316,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.6789,opportunity,0.8738
astraagro,"The Company seeks to optimize
penggunaan energi pada setiap tahapan proses energy use across all stages of the production
produksi, mulai dari transportasi bahan baku, process, from raw material transportation and
pengolahan, hingga operasional pendukung, processing to supporting operations, through the
melalui penerapan teknologi yang lebih efisien adoption of more efficient technologies and the
sekaligus pemanfaatan sumber energi rendah utilization of lower-carbon energy sources.",0.5256056785583496,0.6191935196984559,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9782,opportunity,0.6875
astraagro,"Salah satu langkah nyata yang telah dijalankan One tangible initiative implemented is the use of
adalah pemanfaatan bioenergi berupa biodiesel B40 biodiesel across various operational activities.",0.7836454510688782,0.6231449418701231,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9424,opportunity,0.8896
astraagro,"Sejak Since 2025, Astra Agro has been using B40 biodiesel
tahun 2025 ini, Astra Agro menggunakan biodiesel completely without the use of B35 and B30
B40 secara utuh tanpa penggunaan biodiesel B35 biodiesel.",0.8811801075935364,0.5221521845087409,finbert,False,False,False,False,2025.0,soft,spec,Energy_Management,0.8019,opportunity,0.7798
astraagro,"which support enhanced engine efficiency while
Selain itu, biodiesel memiliki karakteristik reducing the overall carbon footprint of operational
pembakaran yang lebih baik sehingga membantu activities.",0.633550763130188,0.9393010828644036,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9572,opportunity,0.8364
astraagro,"To
reduce reliance on chemical fertilizers, We substitute part of their use
with composted Palm Oil Mill Effluent (POME).",0.6547586917877197,0.597950795199722,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.2463,neutral,0.863
astraagro,"Baru Terbarukan (EBT)
Substitution of coal with palm
kernel shells as an energy source At our refineries units, We reduce coal consumption by substituting it
for refineries units with palm kernel shells as a source of renewable energy.",0.8024294376373291,0.5775073729455471,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9723,opportunity,0.6136
astraagro,"Therefore, we are committed to developing methane
capture facilities at our palm oil mills to capture and utilize methane as
an alternative energy source.",0.7289177179336548,0.8720835365820676,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.8856,opportunity,0.6364
astraagro,"We also continue reforestation
efforts by planting forest species in designated conservation areas.",0.5325854420661926,0.7456086515448987,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9765,opportunity,0.6381
astraagro,"The replacement of pumps within the Water Management System (WMS)
forms part of the Company’s initiative to improve diesel fuel efficiency
and reduce emissions associated with pump operations.",0.5455337166786194,0.9373137052170932,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9712,neutral,0.7183
astraagro,"This implementation is expected
to reduce diesel consumption per operating hour, thereby generating
direct cost savings in fuel expenditure and contributing to the reduction
of GHG emissions from WMS operational activities.",0.7683444023132324,0.965253109112382,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.5577,opportunity,0.825
astraagro,"To enhance
yang digunakan dalam proses pengolahan di PKS water-use efficiency, the Company applies water
dan penyulingan bersumber dari air permukaan reuse practices, including the use of condensate
dan air laut.",0.6259217262268066,0.6004473506473005,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.9404,neutral,0.5792
astraagro,"This commitment
Komitmen tersebut diwujudkan melalui program is implemented through the zero waste mills
zero waste mills, yang menargetkan pemanfaatan program, which targets the reuse of 100% of non-
kembali 100% limbah produksi padat yang hazardous solid production waste.",0.8791913986206055,0.544787329621613,finbert,False,False,False,False,,hard,spec,Waste_And_Hazardous_Materials_Management,0.9849,opportunity,0.6629
astraagro,"The use of environmentally friendly shopping
sebagai pengganti kantong plastik bags as substitutes for plastic bags
2.",0.7030327320098877,0.547031375579536,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.8762,opportunity,0.5855
astraagro,"Sementara plastic consumption through behavioral
itu, kampanye SEMANGKUP difokuskan pada change, such as encouraging the use of
upaya pengurangan penggunaan plastik sekali environmentally friendly shopping bags.",0.5486788153648376,0.589244416449219,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.8554,opportunity,0.6716
astraagro,"Reduction of inorganic fertilizers through ASTEMIC, EFB, and
effluent.",0.5290797352790833,0.5455687534995377,finbert,False,False,False,False,,soft,spec,Water_And_Wastewater_Management,0.5953,neutral,0.7784
astraagro,"hingga tahun 2030) Achieving a 30%
selaras dengan target decarbonization target by 1.",0.7952744364738464,0.9278124845586716,finbert,False,False,False,False,2030.0,soft,spec,Management_Of_Legal_And_Regulatory_Framework,0.2525,neutral,0.8965
bumitama,GHG emissions by 18% compared to our 2016 baseline.,0.8324941396713257,0.5506983995437622,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.9623,neutral,0.9397
bumitama,"However,
to achieve our 30% target by 2030 and lessen our climate footprint,
we are substantially ramping up investments in methane capture
and increasing the use of biocharcoal and organic fertilisers in the
Gunawan H.",0.8814981579780579,0.9439747221767902,finbert,False,False,False,False,2030.0,soft,spec,GHG_Emissions,0.7784,neutral,0.7442
bumitama,"Consistent with Bumitama’s
reforestation and forest-positive programme, BBCP excelled - ABOUT THE REVIEWER
planting over 68,000 trees while adding 180 hectares of reforested Andrew works as a Senior Manager with the Landscape Programme at
area.",0.6295257210731506,0.5768796489574015,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9655,opportunity,0.8671
bumitama,"1 methane capture facility is in
climate adaption 15 existing palm oil mills operation; 3 are in the pipeline
Reduce GHG emissions intensity by 30% 2030 On track.",0.920200526714325,0.8341513243503869,finbert,False,False,False,False,2030.0,soft,spec,GHG_Emissions,0.9662,neutral,0.9027
bumitama,"Rolled out biocharcoal programme,
reductions through composting and increased compositing facilities, improving solid
solid separation separation for wastewater treatment
Waste management Develop a solid waste reduction policy for our 2023 In progress.",0.8093441128730774,0.8880131142213941,finbert,False,False,False,False,,soft,spec,Waste_And_Hazardous_Materials_Management,0.9838,neutral,0.7347
bumitama,"12.2 Target revised to 2025
Pesticides and 85% of planted area to be rodenticide-free 2023 Achieved and exceeded in 2023 with 95% of
chemical usage (2018 baseline) operations rodenticide-free in 2023 and 96%
in 2024
12.4, 12.5 Develop a chemical fertiliser reduction 2024 Ongoing.",0.8491406440734863,0.6622550669126213,finbert,False,False,False,False,2025.0,soft,spec,Selling_Practices_And_Product_Labeling,0.3746,neutral,0.7952
bumitama,"However, plasma certified
area increased from 3.4% to 4.0% of total
plasma planted area since 2022
Community development Support 6 communities through social forestry 2025 Achieved and exceeded.",0.8752895593643188,0.9637705124914646,finbert,False,False,False,False,2025.0,soft,spec,Human_Rights_And_Community_Relations,0.9397,opportunity,0.7853
bumitama,"| Sustainability Report 2024 - 12 - TRIPLE ZERO TARGET
PROGRAMME
(STEPWISE TARGETS)
In 2020, we launched our ambitious Triple
Zero Target Programme – an initiative aimed
at achieving zero occurrences related
to fires, environmental incidents, and
workplace accidents by 2025.",0.5506480932235718,0.8211596752516925,finbert,False,False,False,False,2025.0,hard,spec,Employee_Health_And_Safety,0.7036,neutral,0.9042
bumitama,"As of December 2024, we have facilitated
Bumitama plays a substantial role in addressing industry-wide
certification for 2,483 hectares of plasma – an increase from
sustainability challenges.",0.7142990231513977,0.9651843551546336,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.4334,opportunity,0.5969
bumitama,"In 2023, we continued
our customers.",0.7011592984199524,0.7495710318908095,finbert,False,False,False,False,,soft,spec,Business_Model_Resilience,0.2795,neutral,0.8222
bumitama,"This focus has led to strategic operational
investments to significantly reduce emissions from our mills,
particularly through methane capture and other initiatives.",0.5929726362228394,0.9408125556074084,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.9491,opportunity,0.6904
bumitama,"We
are also exploring new ways of decreasing chemical fertiliser
usage through application of compost and biocharcoal.",0.5785395503044128,0.6313838819041848,finbert,False,False,False,False,,soft,spec,Product_Design_And_Lifecycle_Management,0.2977,opportunity,0.6534
bumitama,"we have identified
a net gain of 920.5 Our overarching objective is to increase total forest cover
hectares in forest in our company-controlled conservation areas by 10% by
land cover since 2020 2025 compared to our 2020 baseline of 34% (or a total
– representing forest cover target of 44%).",0.947511911392212,0.9671870670281352,finbert,False,False,False,False,2025.0,soft,spec,Ecological_Impacts,0.966,opportunity,0.5062
bumitama,"This will be achieved through
active reforestation, planting, and fostering natural regrowth
a 5.3% increase
through company initiatives and community partnerships.",0.7701152563095093,0.939874473027885,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9605,opportunity,0.962
bumitama,"As a result, meeting our annual forest programmes, we run reforestation activities across our
loss target of below 0.1% has been very challenging.",0.7769634127616882,0.0950431730598211,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9222,neutral,0.7076
bumitama,"and 2024, land-clearing resulted in the loss of 604 hectares
of forest within our managed area (401 hectares in 2023 and Since 2021, and with the help of BBCP and social forestry
203 hectares in 2024), representing 1.07% and 0.56% of initiatives, we have reforested 468 hectares with over
our conservation areas, respectively.",0.9602803587913512,0.2286545969545841,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9731,opportunity,0.8327
bumitama,"- 27 - Environmental Protection and Land Use A landscape approach: the PPI Compact in Ketapang
We actively engage in multi-stakeholder initiatives such as the Sustainable Trade Initiative’s (Initiatief Duurzame Handel [IDH])
Production, Protection, Inclusion (PPI) Compact in the Ketapang region, which promotes sustainable production, forest
protection, and restoration across one million hectares.",0.5397070646286011,0.7528756665997207,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9635,opportunity,0.8895
bumitama,"In partnership with local government authorities, we support restoration
programmes covering up to 20,000 hectares of forest and peatland, enhance sustainable palm oil production, and improve
the livelihoods of smallholders.",0.7613872289657593,0.9083546996116638,finbert,False,False,False,True,,soft,spec,Ecological_Impacts,0.9332,opportunity,0.9721
bumitama,"With 180 hectares reforested and
68,060 trees planted since 2021 and 800 hectares reforested
under FlyForest programme in 2020, restoration efforts have
strengthened habitat connectivity, ensuring that the region’s
diverse ecosystem – including Bornean orangutans and other
endemic species – continues to thrive.",0.8228667974472046,0.9674661038443446,finbert,False,False,False,False,,soft,spec,Ecological_Impacts,0.9775,opportunity,0.9324
bumitama,"Since 2016, IDH and Bumitama have
collaborated in several programmes, including conservation
initiatives within Bumitama’s concessions, establishing the KEE
with the government, and setting up and implementing the PPI
Compact to achieve deforestation-free supply chains.",0.5814718008041382,0.8619304141029716,finbert,True,False,False,False,,hard,spec,Supply_Chain_Management,0.591,opportunity,0.673
bumitama,"| Sustainability Report 2024 - 32 - PEAT CONSERVATION Our team is pursuing carbon certification for our methane
capture and biocharcoal projects, which will quantify
[GRI 2-23, 2-24, 3-3, 13.4.1, 13.4.2]
emissions reductions and potentially generate verified
Bumitama remains committed to a policy of zero new carbon credits.",0.7473086714744568,0.8152892701327801,finbert,False,False,False,True,,hard,spec,GHG_Emissions,0.9286,neutral,0.6522
bumitama,"monitor our annual GHG emissions, ensuring a consistent
As of December 2024, our total peatland area stands at 9,171 application of the methodology across all operations,
hectares, of which 8,089 hectares are planted (4.3% of our regardless of certification status.",0.8883042335510254,0.5722469543106854,finbert,False,False,False,True,,soft,spec,GHG_Emissions,0.9669,neutral,0.9436
bumitama,"2
These reductions are primarily attributed to lower fertiliser
2020 2021 2022 2023 2024
application at plantations and increased consumption of
renewable energy from biomass.",0.8477320671081543,0.6453540958464146,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9807,neutral,0.7953
bumitama,"Land clearing | 1,450,957
Bumitama remains committed to mitigating climate change
and aligning with Indonesia’s Net Zero 2060 ambitions.",0.6714867949485779,0.8831975995562971,finbert,False,False,False,False,,hard,spec,Physical_Impacts_Of_Climate_Change,0.9362,neutral,0.8527
bumitama,"Note: Based on RSPO PalmGHG output
With a target of a 30% emissions intensity reduction by
2030 (from our 2016 baseline), Bumitama continues to
refine and integrate climate mitigation measures into our
core operations.",0.6705881953239441,0.9141455260105432,finbert,False,False,False,False,2030.0,soft,spec,GHG_Emissions,0.6972,neutral,0.9617
bumitama,"Less than 1% comes from emissions
investing in methane capture facilities, which form a key part
from purchased electricity (Scope 2), given that our mills
of our climate mitigation strategy.",0.8604397773742676,0.6166449489537627,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.9049,neutral,0.9522
bumitama,"| Sustainability Report 2024 - 34 - We plan to install methane reduction systems at 15 mills by the This was primarily due to implementing energy-saving policies
end of 2029, using company’s own resources, contributing in residential areas, an increased use of renewable energy,
to our 2030 emissions reduction target.",0.9240991473197936,0.8749017198570073,finbert,False,False,False,False,2030.0,soft,spec,Energy_Management,0.9709,opportunity,0.6781
bumitama,"Our energy intensity, measured
reducing the Group’s total net emissions by approximately as energy consumption per metric tonne of CPO, increased
7%, while generating 3 megawatts (MW) of electricity for the slightly to 10.3 GJ/MT CPO in 2024 from 9.8 GJ/MT CPO in
national grid.",0.9594149589538574,0.9682413190603256,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9725,neutral,0.7876
bumitama,"Bumitama’s aerobic composting facilities play a key role in
reducing methane emissions by preventing the anaerobic Total energy consumed by sourced 2021–2024 (TJ)
decomposition of organic matter.",0.6929951310157776,0.756079840939492,finbert,False,False,False,False,,soft,spec,GHG_Emissions,0.8408,neutral,0.6737
bumitama,"Bumitama currently
operates 14 composting sites, and in 2024, 38.7% of total
Renewable Non-renewable
POME was diverted to these facilities to produce compost
for land application.",0.9449778199195862,0.5234907930716872,finbert,False,False,False,False,,soft,spec,Energy_Management,0.5962,opportunity,0.6776
bumitama,"Indonesia’s FOLU Net Sink 2030
Tenaga Surya [PLTS]) to provide electricity to employee
aims to achieve an emissions level from the Forestry
residential areas in and around our estates.",0.8697249293327332,0.8473018598742783,finbert,False,False,False,False,2030.0,soft,spec,Energy_Management,0.6168,opportunity,0.6627
bumitama,"We started with a
and Other Land Use sector of minus 140 MT CO e
2 pilot 57-kilowatt hour (kWh) system at our Central Kalimantan
and a further reduction to 340 MT CO e by 2050.",0.965559720993042,0.6198344230651855,finbert,False,False,False,False,2050.0,soft,spec,Energy_Management,0.959,opportunity,0.5921
bumitama,"The PLTS initiative supports our commitment to
consumption, expand our use of renewable energy, and reducing emissions from non-renewable energy sources
enhance operational efficiencies.",0.5272501707077026,0.9457208067178726,finbert,False,False,False,False,,soft,spec,Energy_Management,0.98,opportunity,0.7734
bumitama,"In 2024, we sourced 96% of conditions for our employees by providing a more reliable
our energy from renewable sources, while the remaining 4% power supply in isolated areas.",0.8951418399810791,0.6582570131868124,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9777,opportunity,0.8733
bumitama,"total energy consumption, from
13,927,696 GJ in 2022 to We are also actively exploring other renewable energy
11,701,032 GJ in 2024 sources, including a waste heat recovery system, which
utilises heat from our mill boilers to generate electricity.",0.9611404538154602,0.5837824863847345,finbert,False,False,False,False,,soft,spec,Energy_Management,0.9802,opportunity,0.8883
bumitama,"We continue to prioritise organic fertilisers to enhance soil
quality, improve nutrient absorption, and reduce reliance on
Inorganic fertiliser usage 2020–2024 (MT/ha)
chemical inputs.",0.5476999282836914,0.915222390089184,finbert,False,False,False,False,,soft,spec,Customer_Welfare,0.376,neutral,0.7409
bumitama,"However, in 2024, our inorganic fertiliser
use increased to 1.07 tonnes per planted hectare, 28.9%
more than in 2023.",0.9587287306785583,0.9660410275682808,finbert,False,False,False,False,,soft,spec,Energy_Management,0.443,neutral,0.7547
