company,claim,source,gold_is_claim,gold_specificity,gold_sentiment,gold_esg_topic
astraagro,"The replacement of pumps within the Water Management System (WMS)
forms part of the Company’s initiative to improve diesel fuel efficiency
and reduce emissions associated with pump operations.",confirmed_claim,,,,
astraagro,"100% deforestation-free products
2.",confirmed_claim,,,,
astraagro,"Sementara plastic consumption through behavioral
itu, kampanye SEMANGKUP difokuskan pada change, such as encouraging the use of
upaya pengurangan penggunaan plastik sekali environmentally friendly shopping bags.",confirmed_claim,,,,
bumitama,"Since 2016, IDH and Bumitama have
collaborated in several programmes, including conservation
initiatives within Bumitama’s concessions, establishing the KEE
with the government, and setting up and implementing the PPI
Compact to achieve deforestation-free supply chains.",confirmed_claim,,,,
bumitama,We aim to achieve 100% traceability to plantation by the end of 2026.,confirmed_claim,,,,
bumitama,"Together, we have rehabilitated degraded areas, provided Improvements of
community support and capacity-building programmes, infrastructure such Product market
secured forested areas, and promoted the development as irrigation and access and
pumps system contract support
of ecotourism.",confirmed_claim,,,,
bumitama,"we have identified
a net gain of 920.5 Our overarching objective is to increase total forest cover
hectares in forest in our company-controlled conservation areas by 10% by
land cover since 2020 2025 compared to our 2020 baseline of 34% (or a total
– representing forest cover target of 44%).",confirmed_claim,,,,
bumitama,"Research suggests that certain microbes, such
as Mycorrhizal fungi, can sequester up to 36% of carbon
emissions from fuel combustion.6
Recognising this as an opportunity to enhance our soil
programmes, Bumitama has invested in a microbiology
programme, launching a research partnership in 2017 with
a public university to explore beneficial fungi and bacteria.",confirmed_claim,,,,
bumitama,"12.2 Target revised to 2025
Pesticides and 85% of planted area to be rodenticide-free 2023 Achieved and exceeded in 2023 with 95% of
chemical usage (2018 baseline) operations rodenticide-free in 2023 and 96%
in 2024
12.4, 12.5 Develop a chemical fertiliser reduction 2024 Ongoing.",confirmed_claim,,,,
bumitama,"In partnership with local government authorities, we support restoration
programmes covering up to 20,000 hectares of forest and peatland, enhance sustainable palm oil production, and improve
the livelihoods of smallholders.",confirmed_claim,,,,
bumitama,"As part of
these smallholders in enhancing their capacity to participate this initiative, Bumitama and the Rainforest Alliance will
in certification schemes.",confirmed_claim,,,,
bumitama,"1 methane capture facility is in
climate adaption 15 existing palm oil mills operation; 3 are in the pipeline
Reduce GHG emissions intensity by 30% 2030 On track.",confirmed_claim,,,,
firstresources,"As of December 2024, more than 800 equivalent (tCO e) being emitted into the atmosphere.",confirmed_claim,,,,
firstresources,"GAPKI and the World Resources Institute (WRI) to enhance 2023, achieving our target to reduce fires each year.",confirmed_claim,,,,
firstresources,"This includes the use of biomass
(palm kernel shells and fibres), biogas, and biodiesel For this report, we have re-established our energy
In 2024, we used a total of 9,849,957 gigajoules (GJ) in our operations.",confirmed_claim,,,,
firstresources,"conservation, and we have reforested more than 166
hectares of previously degraded land to date.",confirmed_claim,,,,
firstresources,"In addition, achieved in 2024 was the successful commissioning of
First Resources has mapped the carbon sequestration two new methane capture facilities, bringing our total to
potential of approximately 24,000 hectares of HCV ten.",confirmed_claim,,,,
firstresources,"To improve soil fertility, we
ORGANIC FERTILISER cultivate land cover crops, which help increase nitrogen
EFB (tonnes) 511,015 566,573 616,689 664,489 701,944 levels, reduce runoff, and suppress weed growth.",confirmed_claim,,,,
firstresources,"We aim to rehabilitate
20 hectares of conservation area and plant more than 120.3 35,963
5,500 trees, annually.",confirmed_claim,,,,
firstresources,"We recycle and reuse all non-hazardous
organic fertiliser
waste generated by our upstream processes.",confirmed_claim,,,,
firstresources,"In 2024, we reused
Examples of our IPM approach include the use of barn glyphosate, extended application intervals and thereby 92% of POME and over 98% of EFB as organic fertilisers.",confirmed_claim,,,,
gar,"We continue to invest
Group, 54.0% of total energy is sourced from renewable sources.",confirmed_claim,,,,
gar,"In 2025, total energy consumption rose modestly by 1.3%, to 43.3 while increasing the use of biomass as a cleaner alternative.",confirmed_claim,,,,
gar,"Since 2023, we have reduced our reliance on coal (a fossil fuel)
decarbonisation strategy.",confirmed_claim,,,,
gar,"Peat Planted
Peat Non-Planted
Rewetting Revegetation Revitalisation
We are maintaining water levels to enhance carbon storage.",confirmed_claim,,,,
gar,"Since 2014, total Deforestation, Peat Management, Fire,
productivity gains across our operations have been achieved through GHG Emissions, Waste Management.",confirmed_claim,,,,
gar,"59 GOLDEN AGRI-RESOURCES LTD SUSTAINABILITY REPORT 2025
Climate Mitigation
We are committed to achieving net zero emissions by 2050, aligning our ambition with the Paris Agreement 1.5°C pathway and Indonesia’s national net zero target by 2060.",confirmed_claim,,,,
gar,"Driving Impact
Through our sustainability framework, we aim to support 500 MSMEs under the Bright Future Initiative by 2030.",confirmed_claim,,,,
gar,"Together, we rehabilitated 2,003
hectares of peatland to help reduce carbon emissions
and conserve critical peatland ecosystems.",confirmed_claim,,,,
gar,"initiatives include recyclable mono-material
margarine tubs brown kraft paper for margarine
Sourcing and Traceability and shortening packaging.",confirmed_claim,,,,
genting,"Biomass such as dried palm fronds and EFB is
Palm Fronds Organic Fertilisers
repurposed as mulching material in our plantations
Fronds are chipped or pruned and Our biomass and by-products are used
to maximise resource efficiency.",confirmed_claim,,,,
genting,"Common by-products such as
Commencing in 2025, Genting Ayer Item Oil Mill utilised methane capture technology EFB, PKS and fibre are repurposed as mulch, soil enhancers or as biofuel for in-house
to reduce greenhouse gas emissions and mitigate environmental impacts.",confirmed_claim,,,,
genting,"GENP continued to manage fuel consumption and on-site energy generation
within established operational parameters, including the use of biomass by-products
We remain firmly committed to our “Zero-burning Policy” for all land-clearing activities from milling activities.",confirmed_claim,,,,
genting,"2,462,487 mt of FFB (99.74% from sustainable sources with environmental
and sustainability standards certifications)
GENP has maintained a strict no-deforestation commitment since 2009 and
strengthened its implementation in 2025 by monitoring 11% of FFB suppliers for
• All palm kernels are sold to external crushing plants, as GENP does not
compliance, covering 19,758 hectares compared to 10% in 2024.",confirmed_claim,,,,
genting,"In 2025, the
Group expanded supplier oversight, monitoring 11%
16,153
of FFB suppliers covering 19,758 hectares, up from
Driving Conservation for a Greener Future
10% in 2024.",confirmed_claim,,,,
genting,"and COD contents from external
oil mills and ashes
before they are parties due to the
produced are used
used as fertilisers efficacy of EFB as
In line with our sustainability goals, we implement as agricultural
and to irrigate our organic mulch
circular economy practices to reduce waste to landfill.",confirmed_claim,,,,
genting,"Group is committed to advancing collective global efforts to combat climate change,
underpinned by its carbon neutrality targets for Malaysian operations by 2030 and Data from RSPO-certified oil mills and estates are also submitted to the RSPO PalmGHG
Indonesian operations by 2035.",confirmed_claim,,,,
genting,"We extend these sustainability standards across our value chain by continuously
Recycled about Established roadmap Water consumption
engaging with vendors and suppliers on our Sustainability Policy and Environmental for phased installation reduction by
1,133,335
Policy, reinforcing responsible sourcing and environmental accountability throughout of Methane Capture
31%
our operations.",confirmed_claim,,,,
genting,We also provide fertilisers at Indah region.,confirmed_claim,,,,
ioi,"In efforts to reduce our water withdrawal, we will
Conventionally, EFB was treated as a waste product to
continue our efforts to embark on water conservation
be mulched and applied in estates as organic fertiliser.",confirmed_claim,,,,
ioi,"Biosphere project in the lower Kinabatangan areas, that was aimed to integrate
maintenance and enrichment planting along our riparian and forest buffer to
minimise edge effects while conserving native wildlife and vegetation.",confirmed_claim,,,,
ioi,"emission intensity
of our operations by
achieving net zero by the year 2040.",confirmed_claim,,,,
ioi,"chemical plant
pre-treatment to reduce chemical waste • Reusing empty fertiliser bags for waste collection
• Using a thermal oil system for heating instead of purposes
water heating systems in IOI Palm Wood • Distribution of used computer to Humana schools in
• Using solar thermal systems to heat water instead of Sabah
fossil fuel for heating
• Sludge dryer has been installed to reduce water
• Working with third party customers to use byproducts content in sludge by more than 60% thus reducing
for the generation of biogas, fertilisers and grease to sludge waste quantity
reduce bio-waste disposal • Employees are encouraged to bring their own food
• Convert unused OPT into eco-friendly, sustainable and drink container when purchasing food in the
and high-performance palm wood panels for furniture cafeteria
and building industries
• Repurpose used tires by transforming them into
creative and functional landscaping features, • Installing heat exchanger to recover heat from the
enhancing the aesthetic appeal and liveability of HRSG continuous blowdown to heat up reverse
workers' housing areas osmosis water
• Joint venture established between IOI Paper Pulp • Recover waste heat from thermal oil heater
Sdn Bhd.",confirmed_claim,,,,
ioi,"The targeting of increased yield per hectare reduces IOI’s immediate need An example of successful mechanisation is the
implementation of the Mini Tractor Grabber (“MTG”) at our
for land expansion, which may have environmental impact such as increased GHG emission from land use Successfully certified 1,128 ha of
estates, which has achieved a targeted harvester ratio
change (“LUC”).",confirmed_claim,,,,
ioi,"This collaboration is a vital step in our laran Tree planting
Bukit Leelau operations, we supported the initiative as part of a multistakeholder
procedures to reduce HECs.",confirmed_claim,,,,
ioi,"• Implement decarbonisation programme to progressively reduce GHG emissions in line with • IOI Oleochemical and PCEO completed ISO14064- introduced and implemented an additional Safe Operating
IOI’s Pathway to Net-Zero by 2040
1:2018 verification for FY2024 GHG emissions while Procedure to prevent reoccurrence of similar incidents
Environment • Protection of natural ecosystem and promote circularity IOI Edible Oils (“IEO”) completed verification for in the future.",confirmed_claim,,,,
ioi,"For example, the PKS sold to some Established a new production plant at IOI corporation community and Getting the best value for what we spend
of our third-party buyers have been used as Acidchem in Prai, able to produce 350 MT/ Day
the environment,
activated carbon in filtration process.",confirmed_claim,,,,
ioi,"These initiatives not only support biodiversity
The South Ketapang Landscape initiative was first launched in October 2018 supplementary food source for the large The project focuses on planting native tree enhancement and ecosystem improvement but also contribute to increased
to promote biodiversity conservation, strengthen fire, water and peat mammals, reducing their need to enter human species that are well-adapted to the local carbon sequestration, helping us to achieve our climate goals.",confirmed_claim,,,,
klk,"Overall, FY2025 reflects continued progress towards the FY2030 target of 0.21 mtCO eq/mt production volume
2
and the Group’s Net Zero 2050 ambition.",confirmed_claim,,,,
klk,"a network of trained, traceable, and certified
smallholders who contribute to deforestation-free FY2024 FY2025
supply chains.",confirmed_claim,,,,
klk,"25% reduction in greenhouse gas emission 27% reduction 25% reduction
intensity by 2029/2030 (compared to 2018/19) achieved vs achieved vs
and net-zero emissions by 2050 (Scope 1 and FY2019 baseline FY2019 baseline
Environment
Scope 2)
4.",confirmed_claim,,,,
klk,"In Indonesia, KLK operates estate-based schools in - In line with our goal to promote social inclusion,
partnership with the Indonesia Heritage Foundation KLK has also engaged a non-profit rehabilitation
and local education authorities, while in Liberia, free centre to carry out regular park maintenance
basic education is provided through our Palm Bay work.",confirmed_claim,,,,
klk,"By leveraging
palm biomass, biogas and solar potential, the Group
• Biomass Optimisation: Upkeep of biomass
can reduce Scope 1 and 2 emissions, stabilise energy
boilers to maximise energy efficiency and replace
costs, and reduce cost through renewable-energy
fossil fuels, with Palm Fibre and PKS used for
generation.",confirmed_claim,,,,
klk,"The Group’s overall decarbonisation plan outlines how we intend to achieve our climate-related targets, including our
25% GHG emissions intensity reduction by 2029/30 (vs FY2019) and net zero by 2050.",confirmed_claim,,,,
klk,"• Midstream & Downstream: Refineries, KCPs and
oleochemical plants reduce Scope 2 emissions
• Decarbonisation Roadmap: Net-zero by 2050,
by integrating rooftop solar panels, while pursuing
supported by interim milestones (25% Scope 1
electrification in locations where renewable
& 2 intensity reduction by 2029/30).",confirmed_claim,,,,
klk,"In Ipoh (MBI) to adopt seven public parks under
Sabah, KLK collaborates with the Humana Child the Taman Rekreasi MADANI programme for a
Aid Society and Etania Schools to provide early period of two years.",confirmed_claim,,,,
musimmas,"We continue • Determining the percentage of
to collaborate closely with them to reach 1.10% 1.20% deforestation-free supply from each mill
4.80% 4.28%
100% ‘Delivering’.",confirmed_claim,,,,
musimmas,"Besides lowering our Scope 1 emissions by
capturing methane, our biogas plants have
We will provide more information about
reduced our consumption of purchased
emissions reduction interventions and
electricity from the grid.",confirmed_claim,,,,
musimmas,"394
334 this initiative, we also provide educational
326
resources, agricultural equipment, and
In 2024, we identified 334 hotspots 289
incentives to communities that adopt fire-
within our concessions.",confirmed_claim,,,,
musimmas,"Our energy intensity generated by our methane capture facilities to the national
efficiencies across our upstream decreased from 7.53 GJ per tonne of CPO/PK produced in 2023 grid, totaling 33.8 million kilowatt hours (kWh) in 2024.",confirmed_claim,,,,
musimmas,"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations.",confirmed_claim,,,,
musimmas,"This initiative helps smallholders secure financing with the Danish Government, Preferred by Nature,
expertise as one of the partners fulfilling its
for sustainable palm replanting, increasing their income while preventing Ferrero, Sustainable Agriculture Network (SAN), and
designated function.",confirmed_claim,,,,
musimmas,"The KPIs assessed will include RSPO certification of independent
smallholders, training of independent smallholders, and maintaining a deforestation-free
In 2024, Musim Mas celebrated two sustainability-related financing milestones.",confirmed_claim,,,,
musimmas,"In 2024, a total of 142,201 MT of
0.7%
coconut oil was sourced from two suppliers
Musim Mas Malaysia – both of which have been assessed for their
Mills
deforestation risk.",confirmed_claim,,,,
musimmas,"Using 2021 as the Group’s baseline
we continue to invest in decarbonization set our net-zero emissions targets and year, Musim Mas has committed to the
initiatives, including the installation of Over the years, we have tracked and are proud to have had our ambitious following:
methane capture technology that began reported on the GHG emission intensity
in 2010.",confirmed_claim,,,,
sdguthrie,"Ongoing key
40,250 metric tonnes (MT) of
initiatives include fertiliser-use efficiency, zero liquid discharge
EUDR-compliant palm oil to
technology, soil health enhancement, climate modelling, and
Europe and the United
the development of climate-tolerant palm varieties.",confirmed_claim,,,,
sdguthrie,"in 2022, 26 estates have participated, with 23 successfully
Our reforestation efforts targeted areas that are designated as In addition, the rehabilitated area will secure carbon stocks
conducting geotagging using internal software applications.",confirmed_claim,,,,
sdguthrie,"Additionally, we utilise mulched empty 22 km of pipeline, with estimated annual savings of around
management across all levels of our organisation.",confirmed_claim,,,,
sdguthrie,"We aim to realise a 20% increase in
(OHD) certification.",confirmed_claim,,,,
sdguthrie,"• Enhancing Scope 3 emission reductions through supplier
Scope 1 (31%) Scope 2 (2%) Scope 3 (62%) Others (5%)
engagement, regenerative agriculture, and nature-based
solutions.",confirmed_claim,,,,
sdguthrie,"NBPOL also supported
Indonesia’s palm oil industry.",confirmed_claim,,,,
sdguthrie,"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%).",confirmed_claim,,,,
sdguthrie,"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain.",confirmed_claim,,,,
sdguthrie,"We are committed to ensuring that the
(PKE) in animal feed not only supports sustainable agricultural SD Guthrie International Biodiesel’s refinery.",confirmed_claim,,,,
sipef,"The successful
contributed to a notable 24.6 % certification of banana operations under Rainforest
Alliance and Fairtrade standards reinforced the
production increase.",confirmed_claim,,,,
sipef,"The refurbishments reduce oil losses
hectare.",confirmed_claim,,,,
sipef,"The vol- In 2024, the Agro Muara Rupit mill in Indonesia
ume redirected for irrigation corresponds to 100% recorded a water usage intensity of 1.24 m3 per
of the treated discharge from the relevant packing tonne of FFB, exceeding its target of (cid:41)1.0 m3 per
stations and is equivalent to the water withdrawal tonne.",confirmed_claim,,,,
sipef,"By the end of 2024, all the estates were fully plant-
ed, with the exception of the Akoudié site, which 2024 also saw 200-400mm less rainfall than
was acquired in 2021.",confirmed_claim,,,,
sipef,"SIPEF has set a broader target to achieve 100%
RSPO certification for its own oil palm estates by
2030.",confirmed_claim,,,,
sipef,"**
1.7 Installation of 0 Set in 1 Packing 2025 CIV New target
water recycling FY2024 station
basin at one
banana packing
station.**
Focus area: Environmental stewardship
Goal: Minimise impacts on natural resources and the environment
Approach: To safeguard natural resources through optimised land use, efficient water management,
waste and pollution reduction, and the re-use of by-products
BASELINE BASE TARGET TARGET TARGET
NO.",confirmed_claim,,,,
sipef,"The RSPO members have committed to produce, source and/
Plasma -- Cooperative programs for plantation development or use sustainable palm oil certified by the RSPO.",confirmed_claim,,,,
sipef,"Locked-in emissions from assets However, by proactively addressing these potential
SIPEF has committed to no deforestation or new risks by implementing its policy on no deforestation
plantings on peatland (NDPE) since 2015 in order to or new plantings on peatland NDPE and applying
reduce emissions from land use change.",confirmed_claim,,,,
sipef,"for food gardening, supported with empty fruit
bunches (EFB) from SIPEF mills, which are used In Côte d’Ivoire, all employees are provided a
as organic fertiliser.",confirmed_claim,,,,
wilmar,"Since then, we have
expanded our traceability initiatives to include our entire supply Satellite Monitoring
chain, and we are dedicated to reaching 100% TtP by 2025.",confirmed_claim,,,,
wilmar,"Since joining the
FFA, Wilmar has carried out fire-free socialisation programmes in We work with local communities to improve livelihoods through programmes that promote
Wilmar has a No Burning policy for land preparation or 147 villages, including 77 located around existing management
sustainable agriculture, provide education and support smallholder farmers.",confirmed_claim,,,,
wilmar,"Beyond compliance, traceability also enables us
December 2024, we have achieved 98.5%* TtM for crude palm
to provide targeted support to smallholders to improve their
oil (CPO) and palm kernel oil (PKO), representing approximately * Limited assurance conducted by CU.",confirmed_claim,,,,
wilmar,"to eliminate greenhouse gas emissions from land-use changes Refineries, 87.8%* were from supplying mills that are delivering
Since 2019, Wilmar has been actively involved in the NDPE IRF
and deforestation.",confirmed_claim,,,,
musimmas,"We are
Additionally, we are endeavouring to restore natural ecosystems18 in our management
guided by our NDPE Roadmap and Biodiversity and Climate Resiliency Action Plan 2022.",rejected_candidate,,,,
astraagro,commitment to supporting sustainable operations.,rejected_candidate,,,,
astraagro,"One of the climate change mitigation actions We undertake is
safeguarding our conservation area from logging and fires.",rejected_candidate,,,,
gar,"It helps our customers 509
demonstrate that our products are deforestation-free in mills
a way that is compatible with the European Union (EU) Percentage Number of Suppliers Volume (MT)
regulatory reporting system.",rejected_candidate,,,,
genting,"Executed a range of POME management strategies, including
treatment, land application and composting, all geared towards the Going forward, we will continue to strengthen the management of hazardous
beneficial repurposing of POME as a fertiliser and non-hazardous waste across all operations, while improving the performance
and efficiency of wastewater treatment systems.",rejected_candidate,,,,
genting,"Embedding Traceability Practices
We uphold transparency by keeping customers informed that our raw materials
GENP’s Owned Oil Mill Production in 2025
originate from sustainable and responsible sources.",rejected_candidate,,,,
gar,"Each type of waste
Across all operations, our waste management approach is built on recovery, reuse, and
is reused in different ways: Fibre and Shell are reused as fuel, while Empty Fruit Bunches
recycling, carefully tailored to each stage of the value chain, from upstream to downstream.",rejected_candidate,,,,
genting,"We will continue to strive for a Zero Harm workplace environment by complying with the OSHMS and enhancing our safety measures, procedures and protocols based on
lessons learned.",rejected_candidate,,,,
sipef,"Across all plantations and processing Effluent (POME) for land application within the
sites, water usage is closely monitored, with contin- plantations, while others discharge the treated
uous efforts to improve efficiency and reduce water effluent into rivers or other water bodies in com-
usage intensity.",rejected_candidate,,,,
bumitama,"These efforts are designed not only to build resilience against potential
adverse climate impacts but also to strategically position the company to seize opportunities arising from the adoption of low-
carbon practices and circular technologies.",rejected_candidate,,,,
firstresources,"For more systems, we have successfully avoided emissions of
details, see Biodiversity protection and conservation.",rejected_candidate,,,,
firstresources,"This reporting tool was Awareness 0% 0% the EUDR, the industry-adopted NDPE IRF, and
designed by members of the Palm Oil Collaboration deforestation and conversion-free (DCF) standards.",rejected_candidate,,,,
ioi,"Reducing the area
Palm Biotech and Research
of exposed soil minimises soil erosion and nutrient runoff, The practice of IPM is another way IOI reduces our
87
particularly during the monsoon season; while preserving dependencies on pesticides.",rejected_candidate,,,,
genting,"In 2025, we
Through a structured approach, we continue to advance emission reduction efforts,
continued to work closely with the communities surrounding our operations, supporting
improve resource efficiency and strengthen supply chain resilience, thus ensuring the
initiatives that improve daily living conditions and strengthen local infrastructure.",rejected_candidate,,,,
gar,"LUC emissions have continued to decline in
2025, reflecting the long-term impact of our commitment
to sustainable land management and the progressive
implementation of our NDPE commitments across our
operations and supply base.",rejected_candidate,,,,
bumitama,"[GRI 302-1, 302-3, 305-5]
As part of our concerted efforts to reduce emissions, Nevertheless, the programme has yielded significant
we continuously seek opportunities to lower our energy benefits.",rejected_candidate,,,,
bumitama,"These are recycled directly at the site, per company
standard operating procedure.",rejected_candidate,,,,
sipef,"This includes agricultural practices and opti-
mised use of organic materials to sequester carbon
in the soil and improve soil structure.",rejected_candidate,,,,
gar,Gas (GHG) • Shared progress with customers and stakeholders to support their climate commitments and Scope 3 expectations.,rejected_candidate,,,,
bumitama,"Despite these challenges,
our agronomy team continued to improve the quality of our
1.09
organic fertilisers, incorporating beneficial soil microbes such 1.07
1.00
as Mycorrhiza and Trichoderma to bolster soil health and plant 0.95
0.83
productivity.",rejected_candidate,,,,
apical,"This includes ethical
BIODIVERSITY, LAND & FOREST MANAGEMENT
1 recruitment, fair wages, worker rights (e.g., freedom of association and collective bargaining), efforts to
Deforestation prevention, forest conservation
eliminate forced and child labour.",rejected_candidate,,,,
sipef,"tion introduced by the European Union aimed at preventing
deforestation and forest degradation linked to products sold GLOBALG.A.P.",rejected_candidate,,,,
sipef,"E Aggressive ambition: assumes the greatest
global effort, limiting warming to 1.5°C by 2100,
Climate transition risks in line with the Paris Agreement.",rejected_candidate,,,,
ioi,"For our Scopes 1 and 2, these meant enhancing existing carbon
Reducing our
reduction and removal initiatives, while actively exploring new opportunities to
climate impacts by
minimise carbon emissions through operational efficiency and the utilisation of
committing to achieve renewable energy.",rejected_candidate,,,,
bumitama,"As we move into 2025 and beyond, our focus remains on:
1 Expanding mainline mechanisation to cut fuel emissions
and improve efficiency.",rejected_candidate,,,,
gar,"At its centre is a time-bound Decarbonisation Roadmap, developed in partnership
with Accenture, and aligned with the GHG Protocol and the Science Based Targets initiative (SBTi) Corporate Net Zero Standard.",rejected_candidate,,,,
ioi,"Together, we are promoting contributing to the project's overall success and objective of creating natural
Kunming-Montreal Global Biodiversity Framework 2050 Goals and 2030 will continue to be implemented to upskill capacity building, knowledge sharing, buffers that protect surrounding ecosystems and increase carbon sequestration.",rejected_candidate,,,,
astraagro,"In collaboration with local governments and Environmental Offices, We
carry out mangrove rehabilitation through mangrove planting programs.",rejected_candidate,,,,
gar,"Continuous Improvement
Our HRDD system is a key part of our broader commitment to ensure that
human rights are systematically respected, protected, and integrated
into day-to-day decision-making across our operations and value chain.",rejected_candidate,,,,
bumitama,"Over the
years, BBCP has worked closely with local villages, training
forest rangers, establishing agroforestry programmes, and
piloting sustainable farming techniques such as paludiculture
on peatlands, which allows rice to be cultivated on previously
unproductive land.",rejected_candidate,,,,
astraagro,"A certification that provides
assurance to consumers about
biomass products, particularly
palm kernel shells, originate from
sustainable and environmentally
friendly sources.",rejected_candidate,,,,
ioi,"As for our Sandakan manufacturing organic matter that is applied to the land, enhancing soil that the surrounding communities and our operations
facilities, PORE was treated and recycled.",rejected_candidate,,,,
musimmas,"increases on our business, including: projects a global temperature increase of
significance based on their severity and
up to 1.5°C due to concerted international
likelihood, alongside our operations’
We conducted a preliminary study in
• Climate-related physical risks – which efforts.",rejected_candidate,,,,
sdguthrie,"Launched the To become fully traceable Reach net-zero
and deforestation-free greenhouse gas
Transforming With smallholders being an essential part of our supply chain, we strive to Framework for sustainability emissions across
Lives and improve their lives and livelihoods through training and certification.",rejected_candidate,,,,
sipef,"SIPEF Integrated Annual Report 2024 Sustainability Statement 131
E2: Pollution
SIPEF is committed to minimising its impact fertilisers and pesticides to a minimum, and buffer
on natural resources and the environment.",rejected_candidate,,,,
ioi,"With expert guidance
and strong collaboration, we have
conducted comprehensive assessments
to tackle GHG emissions within our
operation and our supply chain,
supporting these efforts with capacity
building and awareness, cutting-edge
technologies, and green procurement
standards, ensuring a future that’s as
sustainable as it is strategic.",rejected_candidate,,,,
ioi,"We are
also intensifying our efforts surrounding rehabilitation ESG Digital platform
and reforestation with the aim of increasing our carbon to analyse environmental and
sequestration and enhancing biodiversity and its social-related data
ecosystem.",rejected_candidate,,,,
gar,"Deforestation
sourced • Engaged buyers in structured dialogue sessions during palm oil industry conferences to address priorities relating to
Free Supply
products deforestation-free supply chains, carbon management, and human rights due diligence.",rejected_candidate,,,,
sipef,"The methodology was International Sustainability and Carbon Certification is an
developed with the aim of ensuring a widely accepted practical, independent certification scheme designed to demonstrate
transparent, robust and scientifically credible approach to that biomass and bioenergy, and other biomass-based products
implement commitments to halt deforestation in the tropics, used as ingredients by the feed, food and chemical industries,
while ensuring the rights and livelihoods of local peoples are comply with requirements related to sustainability and GHG
respected.",rejected_candidate,,,,
gar,"technologies that strengthen traceability, improve provide safe, inclusive
We connect production to global markets, delivering quality,
productivity, and build more resilient supply chains.",rejected_candidate,,,,
gar,"protecting nature, and reducing waste.",rejected_candidate,,,,
sipef,"SIPEF Integrated Annual Report 2024 Company Report 57
Piloting technology for climate resilience
During 2024, several pilot projects were initiated Measuring and reporting
to utilise new technologies to improve production carbon emissions
efficiency and resilience to the impacts of climate Better monitoring is being introduced to measure
change.",rejected_candidate,,,,
