claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"Technology Risk: Increase in capital • Reduce operational • Operations
Transitioning to lower expenditure due to emissions through
Our low-carbon oil proposition is key to maintaining and We have expanded into new growth areas, including
emissions technology investments in green energy efficiency
expanding market access, aligning with customers on a renewable energy and industrial development, reinforcing
technologies as part of
low-carbon trajectory.",False,False,False,False,,soft,non,0.7220447659492493
"Through rigorous emissions tracking our commitment to reduce the Group’s carbon footprint,
the Group’s efforts
and strategic customer engagement, SD Guthrie International while leveraging climate-related opportunities to generate
to decarbonise.",False,False,False,False,,soft,non,0.9221476316452026
low-carbon palm oil solutions.,False,False,False,False,,soft,spec,0.5172306299209595
"Projects, objectives,
Regulation (EUDR) • Set up EUDR-compliant
and plans under our “Beyond Zero” Framework were
supply chain and delivered
streamlined to address climate challenges.",False,False,False,False,,hard,non,0.8755742311477661
"Ongoing key
40,250 metric tonnes (MT) of
initiatives include fertiliser-use efficiency, zero liquid discharge
EUDR-compliant palm oil to
technology, soil health enhancement, climate modelling, and
Europe and the United
the development of climate-tolerant palm varieties.",False,False,False,False,,hard,spec,0.7538336515426636
"we implement best-in-class carbon reduction strategies,
In Europe, the EU Renewable Energy Directive (RED) and reinforcing our commitment to environmental responsibility
national sustainability policies have positioned the region as a and innovation.",False,False,False,False,,soft,non,0.8221677541732788
"key market for low-carbon palm oil, with businesses increasingly
integrating climate action into procurement strategies.",False,False,False,False,,soft,non,0.7443114519119263
"Over 70% of our refineries now produce oils with lower carbon
emissions than the industry benchmark1.",False,False,False,False,,soft,spec,0.7792578339576721
"We achieved this
As an industry leader, SD Guthrie International plays a through progress in deforestation-free sourcing, sustainable
pivotal role in this transition by supplying high-quality, land use and biogas adoption.",True,False,False,False,,hard,non,0.7075507044792175
of low-carbon measures.,False,False,False,False,,soft,non,0.5862770676612854
"is based on NGFS net-zero scenario, with carbon pricing The Group integrates climate risks and opportunities into our business strategies, reflected in our approach to land use, conservation,
projected at USD141.39/tCO 2 e (for short term) and supply chain management, and renewable energy.",False,False,False,False,,hard,non,0.7191890478134155
"Since FY2023, we have strengthened our business
apply to the Group’s 2030 and 2050 residual Scope 1 decision-making processes by incorporating climate assessments.",False,False,False,False,2030,soft,non,0.8887146711349487
"We have
and Agriculture (FLAG), and Energy and Industrial categories implemented a proactive, ongoing process to identify, evaluate, and manage significant climate-related risks and opportunities.",False,False,False,False,,soft,non,0.9534623026847839
"‒ after implementing reduction strategies aligned with our These risks and opportunities are fully embedded within SD Guthrie’s Group Risk Management Framework, where they are
Net-Zero Roadmap.",False,False,False,False,,hard,non,0.9545220732688904
"These KPIs track the implementation of climate-related initiatives in estates and mills, and energy
Climate Adaptation Strategies consumption reduction across downstream operations.",False,False,False,False,,soft,non,0.9180371165275574
"With 67% of our net emissions reduced our Scope 1 FLAG net emissions by 24% compared
2
attributed to Scope 3 emissions from our supply chain, we continue to strengthen our supply chain engagement efforts to address to FY2020, driven by our NDPE policy, reduction in peat areas,
and reduce these emissions in collaboration with our suppliers.",False,False,True,True,,soft,spec,0.8924182057380676
"Additionally, we lowered our
Scope 1 Energy and Industrial emissions by 24%, due to
an increase in biogas capture plants, from nine in 2020 to
19 in 2024.",False,False,False,False,,soft,spec,0.9640272259712219
"• Enhancing Scope 3 emission reductions through supplier
Scope 1 (31%) Scope 2 (2%) Scope 3 (62%) Others (5%)
engagement, regenerative agriculture, and nature-based
solutions.",False,False,False,False,,soft,spec,0.7849568724632263
"GHG Emissions Intensities Unit FY2023 FY2024 SD Guthrie also engaged with suppliers on climate action
through the CDP Supply Chain Programme, direct
GHG Emissions (Net of Removal) tCO 2 e/MT of refined products 2.711 2.572 engagements, and capability building sessions to align
Intensity of Refineries suppliers’ commitments with our net-zero targets, and
enhance suppliers’ understanding of SBTi.",False,False,False,False,,hard,spec,0.5956107378005981
and compliance with our deforestation-free commitments.,True,False,False,False,,hard,spec,0.5122569799423218
"Heavy emphasis is placed
human rights, including the rights of local communities, indigenous on due diligence to ensure that they adhere to ethical recruitment
Our NDPE commitment is integral to achieving net-zero emissions and ensuring sustainable palm oil production.",False,False,True,False,,hard,non,0.6774135231971741
"While supporting our “Beyond practices and processes, and we do so through intensive
stringent NDPE standards, we protect forests, conserve peatlands, and promote ethical practices across our supply chain.",False,False,True,True,,soft,non,0.8392965793609619
"SD GUTHRIE’S APPROACH PROGRESS ON NO DEFORESTATION COMMITMENTS and aligns with ambitious voluntary frameworks including the Our core principle of zero-cost recruitment means that we bear
AT MILL LEVEL ILO and Roundtable on Sustainable Palm Oil (RSPO) on
Our NDPE commitment is enshrined in our Responsible all recruitment costs when it comes to securing jobs for our
human and labour rights.",True,False,True,False,,hard,non,0.7550233602523804
"significant milestone by delivering its first shipment of
delivering on No Deforestation commitments, an improvement
40,250 metric tonnes (MT) of EUDR-compliant palm oil to
from 73% in 2023.",True,False,True,False,,hard,spec,0.9621953964233398
"of 24,250 MT arrived at SD Guthrie International’s Zwijndrecht With the aim to provide equal opportunities for all and to 6,350 7,300
To fulfil our commitment in having a fully traceable and Refinery in the Netherlands, followed by a second shipment maintain a zero-tolerance stance on discrimination, we have
deforestation-free supply chain, we plan to intensify supplier of 16,000 MT to the Liverpool Refinery in the UK.",True,True,False,False,,hard,spec,0.9459995031356812
"safeguard sensitive ecosystems and prevent carbon release
and performed deforestation-free assessments of all plantations
from peat soils.",True,False,False,True,,hard,non,0.6804837584495544
"Collaborative efforts with industry compliance with national legislation, International Labour • To address issues of concern to create a safe working and reinforcing our commitment to emission reduction across our
stakeholders promote advancements in NDPE implementation and Organization (ILO) standards, and respect for native customary living environment within the operating units.",False,False,True,False,,soft,non,0.9208621978759766
"NDPE-IRF framework, enabling us to implement our Looking ahead, we are further strengthening our commitment
comprehensive action plans and initiatives across our entire to realise a transparent and sustainable supply chain.",False,False,True,False,,soft,non,0.9176204204559326
"We plan
Some of the activities conducted in the year include a gender To support this transition, we will continue to provide targeted
supply chain at both the mill and production levels.",False,False,False,False,,soft,non,0.7279728055000305
oil production and promote a deforestation-free supply chain.,True,False,False,False,,hard,non,0.5826483368873596
Tackling this issue requires proactive community engagement to raise awareness about the risks of in line with our 5 km radius zero-burning commitment.,False,False,False,False,,hard,non,0.6960515379905701
"Pioneered by SD Guthrie in 1985 and now an industry • Penghargaan Desa Bebas Api ‒ a programme that Illegal burning by communities 17
benchmark for sustainable agriculture, this technique encouraged to adopt zero-burning practices.",False,False,False,False,,hard,spec,0.620456874370575
"These sessions
align suppliers with our RSG and NDPE commitments, offering Progress
SD Guthrie is committed to upholding ethical and sustainable standards in the palm oil industry.",False,False,True,False,,soft,non,0.7982934713363647
"Our
responsible sourcing, traceability, and supplier engagement ‒ ensuring that our supply chain actively addresses environmental training programme emphasises capacity building, traceability Traceability to Mills
and social challenges, drives ethical labour practices, and supports smallholder inclusion.",False,True,False,False,,soft,non,0.919360876083374
"– SD Guthrie-owned mills 100%
We partner our suppliers to improve their operational practices,
meet global sustainability standards, and tackle challenges like – Third-party direct mills/suppliers 100%
deforestation and human rights abuses.",True,False,False,False,,soft,non,0.5701188445091248
"Traceability to Plantation
Deforestation-Free Sourcing in Coconut Production
• Overall Traceability to Plantations (TTP) 84.9%
SD Guthrie International conducted a comprehensive
assessment of coconut plantations in Papua New Guinea, – SD Guthrie-owned mills 100%
enhancing supply chain transparency and sustainability.",True,True,False,False,,hard,spec,0.595711350440979
"It
enables full traceability and transparency, verifying that coconut
supplies originate only from existing plantations and ensuring Supplier Compliance to RSG
zero contribution to deforestation or land clearing.",True,True,False,False,,hard,non,0.6035355925559998
This pilot shipment is fully traceable and verified to meet stringent deforestation-free standards.,True,True,False,False,,hard,spec,0.5874080657958984
"At SD Guthrie, we are dedicated to delivering a responsible and At SD Guthrie International’s Pulau Laut refinery in
Enhancing Traceability in the Palm Oil Industry
sustainable supply chain.",False,True,False,False,,soft,non,0.5963366627693176
"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain.",True,True,True,True,,hard,spec,0.5599192976951599
"These assessments guide our
changes within oil palm concessions and assess impacts on High unchanged for decades, thus validating the deforestation-free purchasing decisions for the Pulau Laut refinery in line
Commitment to Responsible Sourcing Carbon Stock (HCS) and High Conservation Value (HCV) areas.",True,False,False,False,,hard,non,0.7096508145332336
"practices, and collaborating with stakeholders to drive Our commitment to product quality and safety is embedded across We proactively eliminate contaminants throughout the production
Medium risk suppliers have either resolved grievances or meaningful progress across the palm oil industry.",False,False,False,False,,soft,non,0.8114502429962158
"into certified food safe facilities, while enhancing mill safety
periods and adhere to ethical sourcing and sustainability
50% and operational efficiency in line with international food
standards.",False,False,False,False,,soft,non,0.6295111775398254
"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%).",True,False,False,False,,soft,spec,0.5663657784461975
"one facility
FY2022 FY2023 FY2024 Specific to our Indonesian subsidiary, we continued to host the requirements for all certified sustainable palm oil
Sustainability Monthly Event, engaging over 400 employees (CSPO) sales.",False,False,False,False,,soft,spec,0.8265795707702637
"• Proactively mitigating risks related to harmful contaminants
Most of these cases pertained to indirect suppliers who provide SD Guthrie is dedicated to enhancing supply chain • Maintaining low MOSH and MOAH levels of below
goods to SD Guthrie through traders.",False,False,False,False,,soft,non,0.7219287157058716
"pledge to deforestation-free sourcing is driven by advanced SORT SET IN ORDER SHINE STANDARDISE SUSTAIN Indonesia operations
traceability tools and ongoing supplier engagement.",True,True,False,False,,hard,non,0.8457486033439636
"uphold stringent quality standards, as well as good hygiene
practices such as zero dumping on ramp floors and fabrication/
modification of mill machinery to eliminate direct contamination
by lubricants.",False,False,False,False,,hard,non,0.6488157510757446
"By adhering to stringent safety and health standards, we protect our people and also strengthen our platform for highlighting our ongoing efforts to promote a safe
reputation as a responsible employer.",False,False,False,False,,soft,non,0.9321256875991821
"By capturing and converting methane from palm oil mill effluent (POME) into biogas, we actively reduce
greenhouse gas emission (GHG), while optimising resource efficiency.",False,False,False,False,,soft,spec,0.6175207495689392
We are committed to rigorous environmental stewardship across our operations.,False,False,False,False,,soft,non,0.8171829581260681
"This initiative resulted in annual savings of 767 metric
practices are in place to ensure compliance with environmental regulations, while minimising our ecological impact.",False,False,False,False,,soft,spec,0.7323123812675476
"Sustainable Resource Management 2
Guided by our Responsible Agriculture Charter, we take The shift from steam to electrical tracing marks a major
proactive steps in minimising pollution, hazards, and waste improvement in energy efficiency.",False,False,False,False,,soft,non,0.8105652928352356
"Additionally, we utilise mulched empty 22 km of pipeline, with estimated annual savings of around
management across all levels of our organisation.",False,False,False,False,,soft,spec,0.9134508967399597
"SD Guthrie International Biodiesel launched the UCO Buy Back Effluent To uphold the highest standards, we have invested in state-of-the art laboratory testing
Programme to educate employees about proper UCO disposal.",False,False,False,False,,soft,spec,0.5882912874221802
"We are committed to ensuring that the
(PKE) in animal feed not only supports sustainable agricultural SD Guthrie International Biodiesel’s refinery.",False,False,False,False,,soft,spec,0.5064899325370789
"Effluent
discharge is carefully managed through:
Spent Bleaching Earth (SBE), a by-product generated from the Plans to expand the initiative are underway to promote proper
oil refining process, is repurposed into eco-friendly construction disposal practices.",False,False,False,False,,soft,non,0.5816239714622498
"These include UCO collection from • Systematic desludging and daily sampling of key water quality parameters,
materials and recycled to recover residual oils.",False,False,False,False,,soft,non,0.6596745848655701
"Throughout FY2024, we observed an overall increase in palm
oil yield across our operations in Malaysia, reflecting the • Monthly evaluations of all treatment ponds to ensure continuous compliance and
Our circularity programme, Circularity @ SD Guthrie success of our sustainable agricultural practices and initiatives.",False,False,False,False,,soft,non,0.5575189590454102
"International, aims to enhance energy efficiency and reduce This positive development underscores our push towards
carbon emissions by reducing, reusing or recycling of waste responsible production and operational efficiency.",False,False,False,False,,soft,non,0.6743224263191223
"We have installed rainwater harvesting systems,
Effluent and To enhance our regulatory compliance, we are in the midst of proposing new sampling
redesigned water distribution infrastructure to minimise Demonstrating our progress in driving a circular economy,
Sampling requirements, which include:
leakages, and implemented various heat and cold energy we collected a total of 15,135 kg of UCO through our UCO
Requirements
recovery systems, while also pursuing energy optimisation Buy Back Programme.",False,False,False,False,,soft,spec,0.7221574187278748
We actively recover and repurpose by-products to create value and reduce waste as per our Circularity approach.,False,False,False,False,,soft,non,0.5587708950042725
"This involves
conserving various species of biodiversity, mitigating and managing human-wildlife conflicts, and pursuing
large-scale reforestation initiatives to safeguard vital ecosystems.",False,False,False,False,,soft,non,0.8113255500793457
"Additionally, we prioritise responsible
water conservation and management to ensure a sustainable future for both people and planet, in line with
our “Beyond Zero” Framework.",False,False,False,False,,hard,non,0.8751487731933594
We are also dedicated to advancing minimising our ecological footprint while conserving and rehabilitating the areas which we operate in.,False,False,False,False,,soft,non,0.7832105755805969
"Our sustainability initiatives
94,572 94,420 circular economy solutions for material waste streams focus on conserving key species such as elephants, orangutans, tigers, otters, proboscis monkeys, Queen Alexandra’s Birdwing
and pursuing innovative strategies to reduce waste Butterflies, and Santa Cruz Ground Doves through awareness programmes, habitat management, and restoration and breeding
throughout our business.",False,False,False,False,,soft,spec,0.5724074244499207
"Introduced in 2023, our Biodiversity Policy reinforces the principles outlined in our Responsible Agriculture Charter.",False,False,False,False,,soft,non,0.6316096186637878
"We expanded reforestation efforts during the year, focusing on RTE and
0.95 native species to enhance biodiversity and carbon sequestration.",False,False,False,False,,soft,spec,0.6946202516555786
"Building on our Biodiversity Policy, we are working towards developing a comprehensive Conservation and Biodiversity Framework
0.74
0.65 0.67 by FY2025, in line with our aims under the “Beyond Zero” Framework.",False,False,False,False,2025,hard,spec,0.6633580327033997
"Running from 2023 to 2025, the project aims to
accelerating data collection, establishing biodiversity reference
nursery have been successfully transplanted into our estates’ establish a peat rehabilitation model for converting unproductive
frameworks across diverse habitats, as well as enhancing our
buffer zones.",False,False,False,True,2025,soft,spec,0.5768734216690063
"Geotagging
The project will evaluate best management practices for
SD GUTHRIE’S PERFORMANCE In 2024, we established our digital mapping efforts for the peatland rehabilitation as outlined in the Roundtable on
Nestlé RELeaf tree planting project.",False,False,False,True,,soft,spec,0.5155760049819946
"in 2022, 26 estates have participated, with 23 successfully
Our reforestation efforts targeted areas that are designated as In addition, the rehabilitated area will secure carbon stocks
conducting geotagging using internal software applications.",False,False,False,False,,soft,spec,0.7269026637077332
"“Restore and Connect” under our Conservation and Biodiversity to support the Group’s net-zero carbon emission goals,
The Conservation & Biodiversity Unit (CBU) developed a
Approach (CBA) framework, revitalising ecosystems while whilexfostering collaborative R&D partnerships with local
dashboard to visualise the geotagging results, mapping a total
enhancing ecological connectivity.",False,False,False,False,,hard,non,0.7319214344024658
"We also advanced our efforts to convert rubber plantations Other estates that were not involved in the RELeaf project
into forests, enhancing carbon sequestration and offsetting also conducted geotagging as part of the Group’s climate
MOVING FORWARD
our carbon footprint.",False,False,False,False,,soft,spec,0.7295267581939697
"By the end of 2024, we successfully planted 13,719 trees were recorded as standing or available across we will continue to enhance our reforestation and biodiversity
41,967 trees across 56 hectares.",False,False,False,False,,soft,spec,0.9383465647697449
"Additionally, our
regenerative agriculture framework is on track for completion
In collaboration with three smallholder growers and the SD Guthrie and the Malaysian Palm Oil Green Conservation by 2028.",False,False,False,False,,soft,spec,0.6274646520614624
"The tree nurseries that were March 2023 to restore 50 hectares of peatland in Lavang Estate, and accelerate our journey toward net-zero.",False,False,False,True,,hard,spec,0.8967372179031372
"Human Rights and Fair Labour Practices | Community Rights and Development | Diversity and Inclusion
Human Rights and Fair Labour Practices
SD Guthrie is committed to effective water management to achieve efficient irrigation, support sustainable growth, and safeguard
water quality in surface systems throughout our operations.",False,False,False,False,,soft,non,0.8844000697135925
"in place to protect complainants from reprisals or intimidation
supported by initiatives focused on efficiency and responsible 2023 datasets and quantifies the volume of Water Footprint of palm
resource management.",False,False,False,False,,soft,non,0.781534731388092
"By December 2024, we had completed
used water used 1,600 housing units, achieving 25% of our total target of
Our refineries in both water-stressed and low-risk water stress Social Dialogue 6,890 units by 2032.",False,False,False,False,,soft,spec,0.9530820846557617
"areas are also actively implementing water efficiency measures The WFA is a valuable tool for developing water sustainability Setting new industry standards, SD Guthrie’s Social
that align with SD Guthrie International’s programme on circularity.",False,False,False,False,,soft,non,0.9030143022537231
"We aim to realise a 20% increase in
(OHD) certification.",False,False,False,False,,soft,spec,0.8677492141723633
"our Group Digital and Upstream Malaysia Water Management fertiliser use efficiency (FUE) by 2040, decreasing our reliance
teams have developed a digital water level monitoring on inorganic fertilisers and addressing the use of chemicals that
dashboard.",False,False,False,False,,soft,non,0.6484370231628418
"As part of our commitment issues related to land tenure and Malaysian Sustainable Palm
to responsible sourcing, we have achieved 100% traceability of Oil (MSPO) certification.",False,True,False,False,,soft,spec,0.5989995002746582
"Community Rights and Development Efforts
“ This programme improved my
In line with our “Beyond Zero” commitment, we empower
smallholders by integrating them into sustainable supply understanding of plantation
Undertaking robust free, prior, and chains.",False,False,False,False,,hard,non,0.7832518219947815
"smallholders, equipping them with the tools, knowledge, and
resources to thrive in a resilient and ethical palm oil industry.",False,False,False,False,,soft,non,0.7492339611053467
"Additionally, initiatives like the
Mama Loosefruit Scheme focus on empowering women Total CSR spend (FY2024)
smallholders, promoting gender equality, and sustainability
RM55.4 million
leadership within their communities.",False,False,False,False,,soft,spec,0.8739153742790222
"NBPOL also supported
Indonesia’s palm oil industry.",False,False,False,False,,soft,spec,0.6141211986541748
"MOVING FORWARD
Indonesia
Programme Number of Number of Hectares/FFB Community Support SD Guthrie aims to improve the livelihoods of 50,000
schemes smallholders produced smallholders by 2035 under our “Beyond Zero” Framework.",False,False,False,False,,hard,spec,0.7052423357963562
"By prioritising customer privacy, data protection, and anti-corruption, we uphold the
highest standards of integrity, ensuring responsible and sustainable business operations.",False,False,False,False,,soft,non,0.9132769703865051
upholding the highest ethical standards across our operations.,False,False,False,False,,soft,non,0.7931038737297058
"We will
also continue to strengthen anti-corruption efforts and uphold transparency across our operations.",False,False,False,False,,soft,non,0.8555030822753906
