company,claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
gar,"TTP also enables us to 99.8%
TTP Indonesian
build deforestation-free supply in compliance with No
Palm Supply Traceability
Deforestation, No Peat, and No Exploitation (NDPE) at
Chain
the point of origin.",True,True,True,True,,hard,spec,0.6416710019111633
gar,"Since 2014, total Deforestation, Peat Management, Fire,
productivity gains across our operations have been achieved through GHG Emissions, Waste Management.",True,False,False,True,,soft,spec,0.6206284761428833
gar,"In 2025, all
we have ceased new development in our main estates, downstream and 34 upstream mills and
shifting focus toward yield improvement and reinforcing one estate achieved PROPER blue rating,
our zero-deforestation commitment.",True,False,False,False,2025.0,hard,spec,0.8808456659317017
gar,"Peat Planted
Peat Non-Planted
Rewetting Revegetation Revitalisation
We are maintaining water levels to enhance carbon storage.",False,False,False,True,,soft,spec,0.5699872374534607
gar,"Together, we rehabilitated 2,003
hectares of peatland to help reduce carbon emissions
and conserve critical peatland ecosystems.",False,False,False,True,,soft,spec,0.7614807486534119
gar,"initiatives include recyclable mono-material
margarine tubs brown kraft paper for margarine
Sourcing and Traceability and shortening packaging.",False,True,False,False,,soft,spec,0.5472033619880676
gentingplantations,"2,462,487 mt of FFB (99.74% from sustainable sources with environmental
and sustainability standards certifications)
GENP has maintained a strict no-deforestation commitment since 2009 and
strengthened its implementation in 2025 by monitoring 11% of FFB suppliers for
• All palm kernels are sold to external crushing plants, as GENP does not
compliance, covering 19,758 hectares compared to 10% in 2024.",True,False,False,False,2025.0,soft,spec,0.9523677229881288
ioi,"EUDR commitments are communicated to our
and Prosperity) plus Partnership, are driven by
- Indonesia: 1 Mill RSPO MB certified
suppliers through suppliers’ engagement such as the
our conviction to not only meet the needs of the
• 99% Malaysian and 73% Indonesian Estates RSPO Tools for Transformation (“T4T”) as we aim for a
present without compromising that of the next Certified
deforestation-free supply chain.",True,False,False,False,,hard,spec,0.5616509914398193
ioi,"Going beyond just commitment to NDPE, IOI has taken a bold step by
peatlands and planted areas
No Deforestation, No New Planting on applying nature-based solutions to plan for large-scale forest tree planting
Water Increasing Peninsular • Increase the amount of water recycled and • Developing a water stress resistant oil
Peat, as part of NDPe with careful consideration to the ecosystem in existing conservation
stress Malaysia reused in manufacturing operations palm variety through research
areas, which are primarily shrublands.",True,False,True,True,,hard,spec,0.6322133541107178
ioi,"This process includes cleaning the
are actively managing 3,849.75 ha of peat areas that and ISO14044, which specifies requirements and fostering strong partnerships with our suppliers, we aim to
containers using the triple rinse method and returning them
were previously planted with oil palm while monitoring guidelines for LCA and inventory analysis.",False,False,False,True,,soft,spec,0.6344208121299744
ioi,"These initiatives not only support biodiversity
The South Ketapang Landscape initiative was first launched in October 2018 supplementary food source for the large The project focuses on planting native tree enhancement and ecosystem improvement but also contribute to increased
to promote biodiversity conservation, strengthen fire, water and peat mammals, reducing their need to enter human species that are well-adapted to the local carbon sequestration, helping us to achieve our climate goals.",False,False,False,True,,soft,spec,0.7306120991706848
klk,"a network of trained, traceable, and certified
smallholders who contribute to deforestation-free FY2024 FY2025
supply chains.",True,True,False,False,2025.0,hard,spec,0.5765383839607239
musimmas,"On track
Ensure 100% deforestation-free supply chain 2025 Achieved 99.47%* deforestation-free supply chain.",True,False,False,False,2025.0,hard,spec,0.7980303764343262
musimmas,"Comprehensive
we confirmed that 99.47% of our supply
Closer to home, our pioneering leadership
effort has been taken to ensure European
chain was deforestation-free in 2024.",True,False,False,False,,hard,spec,0.7906998991966248
musimmas,"under the Sungai to train more than
organizations, and integrate smallholders Landscape Programme Linau Landscape 1,000 independent
suppliers in 2020: into the sustainable established by the WSP implemented Conservation smallholders in
The first Smallholders palm oil supply chain, Proforest-Daemeter here and Livelihoods sustainable palm
Hub was established reducing deforestation.",True,False,False,False,,soft,spec,0.6856465339660645
musimmas,"to:
includes: Selected villages have received training
Launched in 2021, the BIPOSC Project is a
• Operate a sustainable composting unit,
• Seven demonstration plots for oil palm on GAP, NDPE principles, and financial
ten-year initiative helping 2,500 smallholders
producing 100–150 tonnes of affordable
regenerative agriculture literacy.",False,False,True,False,,soft,spec,0.9074252247810364
musimmas,"supply 100% deforestation-free FFB, including
organic fertilizer from mill byproducts
• 20 hectares of demonstration plots for
members of cooperatives, farmer groups, and
Participating villages are randomly
monthly, available to farmers at 40% cheaper
agroforestry
associations.",True,False,False,False,,hard,spec,0.8470823168754578
musimmas,"Danish government in collaboration with Preferred by Nature, Jérémie heads the Asia team of L3F, a public-private
Ferrero, SAN, Agriterra, and Musim Mas for Sustainable Palm initiative that supports sustainable agriculture and rural
Abler Nordic, Livelihoods Funds, Musim Mas, and Temasek Foundation Launch
Oil Production in Indonesia development, particularly for smallholder farmers in
Blended Finance Initiative on Sustainable Oil Palm to Combat Deforestation and
developing countries.",True,False,False,False,,soft,spec,0.7405956387519836
musimmas,"Our initial target exceeded palm Reduce absolute Scope 1 and 3 Reduce absolute
FLAG FLAG GHG emissions Scope 1 and 3 FLAG GHG
have optimized our day-to-day practices to oil industry standards at the time, and
by 30.3% by 2030 emissions by 72% by 2050
uphold our no deforestation and no peat we are raising the bar again by adopting
planting commitments.",True,False,True,True,2030.0,hard,spec,0.889396607875824
musimmas,"Musim Mas is also committed to sourcing
coconut from deforestation-free areas,
as outlined in our Sustainable Coconut
Sourcing Strategy.",True,False,False,False,,hard,spec,0.622208833694458
musimmas,"In 2024, a total of 142,201 MT of
0.7%
coconut oil was sourced from two suppliers
Musim Mas Malaysia – both of which have been assessed for their
Mills
deforestation risk.",True,False,False,False,,soft,spec,0.9183365106582642
musimmas,"By
Palm Oil Traceability
100% 100% 100% 100% 100% adapting our existing TTP method, we have
98% 98%
98%
Effectively managing and addressing 97% 97%
96% achieved 100% traceability to plantation
94%
potential deforestation and peat
for coconut oil sourced in 2024.",True,True,False,True,,soft,spec,0.8742093443870544
musimmas,"We continue • Determining the percentage of
to collaborate closely with them to reach 1.10% 1.20% deforestation-free supply from each mill
4.80% 4.28%
100% ‘Delivering’.",True,False,False,False,,hard,spec,0.8455555438995361
musimmas,"10.23% 18.55%
13.93% 24.01%
In 2024, our supply chain was determined
to be 99.47%* deforestation-free, and
2024 2023 2022 2021
we remain on track to ensure it is 100%
deforestation-free by 2025.",True,False,False,False,2025.0,hard,spec,0.9411670565605164
musimmas,"The KPIs assessed will include RSPO certification of independent
smallholders, training of independent smallholders, and maintaining a deforestation-free
In 2024, Musim Mas celebrated two sustainability-related financing milestones.",True,False,False,False,,hard,spec,0.778377890586853
sdguthrie,"Transforming Lives Through • Community Rights and Development • 46,672 smallholders in our supply
Smallholder Engagement: chain across Malaysia, Indonesia,
Zero Harm: Ensure a fully traceable, • Supply Chain Management • Achieved 96.9% traceability to mill
Support 50,000 smallholders Papua New Guinea, Solomon
deforestation-free supply chain • Health and Safety and 84.9% to plantations, as well as
with capacity-building programmes Islands, and Thailand*.",True,True,False,False,,hard,spec,0.6714556813240051
sdguthrie,"Achieved for greenhouse gas
traceability to mill (GHG) emissions intensity 15 MW
Secured a
Zero Traceability, supplier engagement, and labour rights are fundamental to our for SD Guthrie’s (40% against 2009 baseline) quota for the development of
operations, and a testament towards our commitment of No Deforestation, global supply chain
Harm SD Guthrie’s first solar power
No Peat, and No Exploitation (NDPE).",True,True,True,True,,hard,spec,0.8312857747077942
sdguthrie,"We extend our efforts beyond our operations, actively supporting nature
Restoration via multiple ongoing conservation initiatives, including reforestation, 2024 ACHIEVEMENTS 2030 2050
and
peatland rehabilitation and the conservation of 100,000 hectares across
Conservation
our sourcing landscape.",False,False,False,True,2030.0,soft,spec,0.6695035099983215
sdguthrie,"With 67% of our net emissions reduced our Scope 1 FLAG net emissions by 24% compared
2
attributed to Scope 3 emissions from our supply chain, we continue to strengthen our supply chain engagement efforts to address to FY2020, driven by our NDPE policy, reduction in peat areas,
and reduce these emissions in collaboration with our suppliers.",False,False,True,True,,soft,spec,0.8924182057380676
sdguthrie,and compliance with our deforestation-free commitments.,True,False,False,False,,hard,spec,0.5122569799423218
sdguthrie,"significant milestone by delivering its first shipment of
delivering on No Deforestation commitments, an improvement
40,250 metric tonnes (MT) of EUDR-compliant palm oil to
from 73% in 2023.",True,False,True,False,,hard,spec,0.9621953964233398
sdguthrie,"of 24,250 MT arrived at SD Guthrie International’s Zwijndrecht With the aim to provide equal opportunities for all and to 6,350 7,300
To fulfil our commitment in having a fully traceable and Refinery in the Netherlands, followed by a second shipment maintain a zero-tolerance stance on discrimination, we have
deforestation-free supply chain, we plan to intensify supplier of 16,000 MT to the Liverpool Refinery in the UK.",True,True,False,False,,hard,spec,0.9459995031356812
sdguthrie,"Traceability to Plantation
Deforestation-Free Sourcing in Coconut Production
• Overall Traceability to Plantations (TTP) 84.9%
SD Guthrie International conducted a comprehensive
assessment of coconut plantations in Papua New Guinea, – SD Guthrie-owned mills 100%
enhancing supply chain transparency and sustainability.",True,True,False,False,,hard,spec,0.595711350440979
sdguthrie,This pilot shipment is fully traceable and verified to meet stringent deforestation-free standards.,True,True,False,False,,hard,spec,0.5874080657958984
sdguthrie,"by enabling traceability of raw materials throughout our palm related to our No Deforestation, No Peat, and No Exploitation • SD Guthrie International directly sources from 13,665 hectares
This thorough screening ensures that both existing and
oil supply chain.",True,True,True,True,,hard,spec,0.5599192976951599
sdguthrie,"For our upstream mills,
‘Working with Suppliers to Draw the Line on Deforestation’
Control Points (HACCP) training to reinforce certification 55 out of 65 mills are HACCP certified (85%).",True,False,False,False,,soft,spec,0.5663657784461975
sdguthrie,"Running from 2023 to 2025, the project aims to
accelerating data collection, establishing biodiversity reference
nursery have been successfully transplanted into our estates’ establish a peat rehabilitation model for converting unproductive
frameworks across diverse habitats, as well as enhancing our
buffer zones.",False,False,False,True,2025.0,soft,spec,0.5768734216690063
sdguthrie,"Geotagging
The project will evaluate best management practices for
SD GUTHRIE’S PERFORMANCE In 2024, we established our digital mapping efforts for the peatland rehabilitation as outlined in the Roundtable on
Nestlé RELeaf tree planting project.",False,False,False,True,,soft,spec,0.5155760049819946
sdguthrie,"The tree nurseries that were March 2023 to restore 50 hectares of peatland in Lavang Estate, and accelerate our journey toward net-zero.",False,False,False,True,,hard,spec,0.8967372179031372
sdguthrie,"As part of our commitment issues related to land tenure and Malaysian Sustainable Palm
to responsible sourcing, we have achieved 100% traceability of Oil (MSPO) certification.",False,True,False,False,,soft,spec,0.5989995002746582
sipef,"Oil palm F1 Hybrids have
the potential to double yield per hectare, thereby
helping to meet demand while mitigating risks of
deforestation and biodiversity loss.",True,False,False,False,,soft,spec,0.5035901069641113
sipef,"achieving a 100% Roundtable on Sustainable Palm
Oil (RSPO) certified supply base for its palm oil
Key commitments and requirements: production, and for the smallholders delivering to
E 100% certification and traceability of products its mills.",False,True,False,False,,soft,spec,0.5044359564781189
sipef,"Locked-in emissions from assets However, by proactively addressing these potential
SIPEF has committed to no deforestation or new risks by implementing its policy on no deforestation
plantings on peatland (NDPE) since 2015 in order to or new plantings on peatland NDPE and applying
reduce emissions from land use change.",True,False,True,True,,hard,spec,0.7108718752861023
firstresources,"At First Resources, To manage peatlands effectively, we have implemented
and per our 2015 Policy on Sustainable Palm Oil, we several strategies, including blocking canals and
are committed to no further planting on peat.",False,False,False,True,,soft,spec,0.6012188196182251
firstresources,"To achieve this, we are heavily investing in
Scope 1 FLAG emissions is our firm commitment to methane capture facilities to trap its release from
no deforestation and no planting on peat, ensuring that the POME treatment process.",True,False,True,True,,hard,spec,0.7520287036895752
firstresources,8 The supplier has made commitments to ensure that all volumes comply with the relevant no deforestation and no peat commitments and is planning or implement it for existing suppliers in 2025.,True,False,True,True,2025.0,hard,spec,0.6107345819473267
wilmar,"Beyond compliance, traceability also enables us
December 2024, we have achieved 98.5%* TtM for crude palm
to provide targeted support to smallholders to improve their
oil (CPO) and palm kernel oil (PKO), representing approximately * Limited assurance conducted by CU.",False,True,False,False,,soft,spec,0.8794821500778198
wilmar,"Since then, we have
expanded our traceability initiatives to include our entire supply Satellite Monitoring
chain, and we are dedicated to reaching 100% TtP by 2025.",False,True,False,False,2025.0,soft,spec,0.7618377804756165
wilmar,"to eliminate greenhouse gas emissions from land-use changes Refineries, 87.8%* were from supplying mills that are delivering
Since 2019, Wilmar has been actively involved in the NDPE IRF
and deforestation.",True,False,True,False,,soft,spec,0.8081666827201843
