company,claim
sipef,"To
High-quality, sustainable, traceable, certified products
SIPEF is committed to producing high-quality,
GOALS FOR THIS FOCUS AREA ARE:
sustainable, traceable, and certified palm oil and
bananas."
sipef,"This contributes to the Group's mission
to foster a harmonious balance between nature, E Implementing the highest food safety and
quality standards."
sipef,"54 The connection to the world of sustainable tropical agriculture
100%
Sustainability standards and certification
RSPO certified SIPEF produces palm oil and bananas while
PKO in Papua
preserving natural ecosystems, engaging in fair
New Guinea
labour practices, and providing support for local
communities in the places where it operates."
sipef,"One of the ways that the Group demonstrates this
75% commitment to positive impact is through sustain-
ability certification."
sipef,"Supplying sustainabil-
ity certified products to its customers also helps
them to perform better on their own sustainability
related supply chain objectives."
sipef,"87%
RSPO certified Palm oil certification
CPO
SIPEF is working towards a target of 100%
Roundtable on Sustainable Palm Oil (RSPO) certi-
fication across all its palm oil operations, including
its smallholder supply base."
sipef,"As a result, all palm oil production from South
Sumatra is certified under the MB model."
sipef,"VBS is working on several innova- has enormous potential to optimise production
tion areas that have the potential to enhance palm efficiency."
sipef,"er-yielding oil palm varieties that have improved Fertiliser application can also be carried out by
resilience to pests, diseases and climate-related drone, allowing for greater efficiency while reducing
challenges."
sipef,"SIPEF Integrated Annual Report 2024 Company Report 57
Piloting technology for climate resilience
During 2024, several pilot projects were initiated Measuring and reporting
to utilise new technologies to improve production carbon emissions
efficiency and resilience to the impacts of climate Better monitoring is being introduced to measure
change."
sipef,"ing with a partner to explore additional potential
applications, including carbonising biomass."
sipef,"This
process reduces the emissions produced from EFB
breaking down in the fields, while sequestering
carbon in the soil, improving soil structure, and
enhancing water-holding capacity."
sipef,"By committing to these areas of innovation, SIPEF
is laying a sustainable foundation for long-term
productivity and environmental stewardship,
ensuring that resources are utilised effectively
while preserving the integrity of its ecosystems."
sipef,"Oil palm F1 Hybrids have
the potential to double yield per hectare, thereby
helping to meet demand while mitigating risks of
deforestation and biodiversity loss."
sipef,"Further efforts are directed at utilising organic
fertilisers, such as compost derived from a combi-
Improvements in agronomic practices nation of palm oil mill empty fruit bunches (EFB)
VBS provides tailored agronomic recommendations and palm oil mill effluent (POME), or EFB alone
for each SIPEF estate block and field, aiming to where composting facilities are unavailable."
sipef,"The objective is to eliminate contaminants and
ensure compliance with stringent European Union
food safety standards."
sipef,"Additionally, a Bio-
CNG plant project is set to commence at Perlabian 70 The connection to the world of sustainable tropical agriculture
mill and Umbul Mas Wisesa mill in collaboration and emissions reduction initiatives underscore the
with the KIS Group, with expected completion by Group’s dedication to responsible and sustainable
end of 2025 and 2026 respectively."
sipef,"From here, Overall marketed production increased by 24.6%
the bananas are exported in refrigerated containers compared to 2023."
sipef,"By the end of 2024, all the estates were fully plant-
ed, with the exception of the Akoudié site, which 2024 also saw 200-400mm less rainfall than
was acquired in 2021."
sipef,also increased by 4.9%.
sipef,significantly reduces plastic usage.
sipef,"The transition
to reusable plastic crates for fruit packaging has
SIPEF collaborates with a panel of ripener cus- also replaced traditional 18.5 kg cardboard boxes,
tomers that share a com- further reducing environ-
mitment to sustainability mental impact."
sipef,"All SIPEF’s banana production is Fairtrade and
E
By working together in
Rainforest Alliance certified."
sipef,"131) • Minimise impacts on natural
resources and the environment
• Pollution of water • Smallholders
• Sustainable land use and
E4: BIODIVERSITY AND ECOSYSTEMS (PG."
sipef,"achieving a 100% Roundtable on Sustainable Palm
Oil (RSPO) certified supply base for its palm oil
Key commitments and requirements: production, and for the smallholders delivering to
E 100% certification and traceability of products its mills."
sipef,"It also commits the Group to upholding
E No deforestation, no new developments on peat, the 100% certification of its banana operations to
and no exploitation (NDPE) the Rainforest Alliance Sustainable Agriculture
E Free, Prior, and Informed Consent (FPIC) prior Standard, as well as the GLOBALG.A.P."
sipef,"Additionally, for the RPP,
the updates included aligning the policy’s pillars
with the Balanced Growth Strategy and adding a
commitment to restore natural ecosystems affected
by deforestation."
sipef,"The Group is dedicated to reducing the environ-
mental footprint of its operations, from plantations
to processing, through the implementation of best
management practices and risk-based impact mit-
igation strategies, including reducing greenhouse
gas (GHG) emissions."
sipef,"Focus area and
sustainability goals
Environmental stewardship
E GHG emissions reduction and long-term climate
resilience
E Minimise impacts on natural resources and the
environment
E Sustainable land use and biodiversity
conservation, including no deforestation and
no new developments on peat SIPEF Integrated Annual Report 2024 Sustainability Statement 119
E1: Climate change
The global agricultural sector is a contributor to As an agriculture company, SIPEF has a goal to
climate change, with agriculture, forestry, and reduce its GHG emissions and build long-term
other land uses collectively representing about climate resilience."
sipef,"This goal falls under the Group’s
one-fifth (22%) of worldwide anthropogenic GHG environmental stewardship focus area, which is
emissions.1 At the same time, the sector is also part of SIPEF’s Balanced Growth Strategy."
sipef,"principles, optimised land use, and water resource
management, while protecting biodiversity."
sipef,"This
approach contributes to fostering a sustainable,
low-carbon future for the oil palm industry."
sipef,"• Regenerative agriculture pilots with a model to scale
up at five sites by 2026 in oil palm operations."
sipef,"• Installation of rainwater harvesting system in all palm
oil mills by 2030."
sipef,"• Installation of water recycling basin at one banana
packing station by 2025."
sipef,"This results in a total of 324 019 tCO e
2
Carbon Stock (HCV-HCSA) sequester carbon while sequestered in 2024."
sipef,"SIPEF did not use nuclear
removal activity was not converted into carbon energy in 2024."
sipef,This incorporated the aiming for zero emissions post-2050.
sipef,"E Aggressive ambition: assumes the greatest
global effort, limiting warming to 1.5°C by 2100,
Climate transition risks in line with the Paris Agreement."
sipef,"Locked-in emissions from assets However, by proactively addressing these potential
SIPEF has committed to no deforestation or new risks by implementing its policy on no deforestation
plantings on peatland (NDPE) since 2015 in order to or new plantings on peatland NDPE and applying
reduce emissions from land use change."
sipef,"operations (plantations and processing facilities)
to minimise net GHG emissions."
sipef,"Looking ahead, SIPEF is also exploring the coastal flooding, to effectively mitigate risks to its
possibility of harnessing biogas from the methane operations."
sipef,"Additionally, SIPEF
Renewable energy: SIPEF generates renewable continuously enhances water management
energy from the by-products of milling operations and strives to reduce water usage intensity to
(fibres and shells) to power operations and employ- effectively address potential water stress across
ee compounds using steam turbines."
sipef,"at one of its mills, the Group uses methane capture
from POME and a biogas generator to produce
electricity."
sipef,"Targets and monitoring
SIPEF has been actively working to reduce its cli- SIPEF has previously set a target to reduce its Scope
mate impact and adapt to identified climate risks, 1 and Scope 2 net GHG emissions by 28% by 2030
and is further strengthening these efforts by setting compared to base year 2021."
sipef,"This updated target will be used in the development
E Site based monitoring of GHG emissions through of a climate change mitigation transition plan."
sipef,"In the meantime, SIPEF actively monitors GHG
E Protection of coastal shorelines and prevention emissions across its operations."
sipef,"SIPEF Integrated Annual Report 2024 Sustainability Statement 131
E2: Pollution
SIPEF is committed to minimising its impact fertilisers and pesticides to a minimum, and buffer
on natural resources and the environment."
sipef,"These policies set tainability, supported by the heads of each regional
the framework for a broad range of measures sustainability team, and other relevant depart-
related to minimising pollutants to the environ- ments at the Group’s operations."
sipef,"Actions, targets, and monitoring
Pollution of air Engineering controls are implemented to minimise
Biomass combustion contributes to the genera- smoke density and particulate emissions, includ-
tion of renewable energy at SIPEF’s palm oil mills."
sipef,"To mitigate this, SIPEF ensures that ing the amount of particulates released into the
biomass combustion is maintained at an optimal atmosphere."
sipef,level to minimise the release of particulates.
sipef,"SIPEF follows mandatory requirements in SIPEF’s best practices in agrochemical manage-
Indonesia and Papua New Guinea and has set a ment align with the requirements of both the
target for zero non-conformance with local and Roundtable on Sustainable Palm Oil (RSPO) and
industry regulations on smoke density across all Rainforest Alliance certification programmes."
sipef,its palm oil mills to control the pollutants emitted.
sipef,"SIPEF recognises the vital importance of
security, responsible water stewardship presents responsible water management and is committed
a valuable opportunity to enhance resilience, pro- to minimising its impact on local ecosystems and
tect natural resources, and support sustainable communities."
sipef,"palm oil mill has been incorporated into the
• Water recycling basin at water consumption monitoring framework
one packing station by
2025."
sipef,"138 The connection to the world of sustainable tropical agriculture
Policies and commitments
SIPEF’s approach to water management is ground- minimising the use of agrichemicals, reducing
ed in its Environmental Policy and Responsible waste and pollution, and maintaining riparian
Plantations Policy (RPP)."
sipef,"Policy commits the Group to preventing pollution
and improving environmental performance by These commitments guide SIPEF’s actions to
using resources efficiently, including water."
sipef,"It also ensure that water resources are used efficiently
emphasises compliance with relevant environmen- and responsibly, in support of both operational
tal regulations and the continuous improvement of sustainability and the protection of surrounding
environmental practices."
sipef,"Some mills recycle treated Palm Oil Mill
ecosystems."
sipef,"Across all plantations and processing Effluent (POME) for land application within the
sites, water usage is closely monitored, with contin- plantations, while others discharge the treated
uous efforts to improve efficiency and reduce water effluent into rivers or other water bodies in com-
usage intensity."
sipef,"subtracting the volume of water discharged from
After use, 100% of water from the packing process palm oil mills and packing stations from the total
is either recycled through decantation tanks and water withdrawn across palm oil mills, banana
redirected to dams for future irrigation or safely plantations, and packing stations."
sipef,"To reflect varying environmental conditions and
For palm oil processing, a total of 504 545 m3 of operational contexts, SIPEF has set water usage
water was recycled and reused through the land intensity targets for its palm oil mills based on the
application of treated POME."
sipef,"For banana operations, a total of 46 524 m3 of Water usage intensity targets will be set for banana
water was recycled and reused across the packing operations once an accurate baseline has been
stations and for irrigation within the plantations."
sipef,"The vol- In 2024, the Agro Muara Rupit mill in Indonesia
ume redirected for irrigation corresponds to 100% recorded a water usage intensity of 1.24 m3 per
of the treated discharge from the relevant packing tonne of FFB, exceeding its target of (cid:41)1.0 m3 per
stations and is equivalent to the water withdrawal tonne."
sipef,"In Papua New Guinea, all mills including the installation of rainwater harvesting
operated within their respective water intensity systems at all palm oil mills and the implementation
targets, with values ranging from 1.00 to 1.23 m3 of a water recycling basin at one packing station."
sipef,"Most showed slight These initiatives aim to improve water efficiency
improvements compared to 2023, notably the Navo and reduce reliance on raw water sources across
mill, which reduced its water intensity from 1.56 to the Group’s operations."
sipef,"not mandatory regulatory requirements, they are
aligned with industry best practices and reflect
In Côte d’Ivoire, water usage intensity for banana SIPEF’s commitment to continuous improvement
production increased by around 19% in 2024, reach- and responsible water stewardship."
sipef,"setting site-specific intensity targets, investing in
rainwater harvesting and recycling initiatives, and
aligning practices with industry best standards,
SIPEF aims to minimise its reliance on freshwater
resources while supporting long-term environmen-
tal and operational resilience."
sipef,"This gives the Group a unique position of converting high conservation value habitats during
responsibility for mitigating biodiversity loss and new developments and carefully manages existing
significantly reducing climate-related impacts by plantations to minimise land degradation, inva-
decoupling deforestation from agricultural pro- sive weed proliferation, and negative impacts on
duction."
sipef,The Group's commitment to protecting watersheds.
sipef,"These targeted measures help safe-
biodiversity is clearly articulated in its Responsible guard critical ecosystems in the landscapes where
Plantations Policy (RPP), which includes a strict the Group operates, while ensuring compliance
no deforestation and no new development on peat with applicable environmental standards and
(NDP) commitment that has been implemented regulations."
sipef,"the SBI programme to 1 123 hectares of
• Restore 1 123 hectares of degraded degraded land by 2033, building on the
land within SBI by 2033, from 2024 goal of 256 hectares
baseline year 2024."
sipef,"for deforestation-free supply chains among This transition will require increased
regulators, buyers, and financial institutions investment, including continued develop-
may affect the Group."
sipef,"The policy also affirms
tion and minimum standards for responsible land SIPEF’s commitment to restoring ecosystems
use, biodiversity conservation, and sustainable affected by historical non-compliant land con-
sourcing across all operations and supplier rela- version, in line with the RSPO Remediation and
tionships."
sipef,"In its non-oil palm operations,
the Group adheres to recognised certification pro-
The RPuP extends these principles to all smallhold- grammes such as Rainforest Alliance, Fairtrade,
er suppliers."
sipef,"Actions, targets, and monitoring
SIPEF takes a proactive approach to managing bio- Sustainable land use
diversity and ecosystem-related impacts, adopting Prior to any new land development, SIPEF conducts
a range of measures to address deforestation and integrated HCV-HCSA assessments, supported
promote biodiversity and habitat conservation."
sipef,"As part of this process, the
(IPM) to reduce chemical inputs."
sipef,"148 The connection to the world of sustainable tropical agriculture
Monitoring of SIPEF’s NDP commitment Target and progress
Since 2021, SIPEF has implemented a structured SIPEF has set a target to achieve zero deforestation
system to monitor compliance with its NDP policy across both its directly managed concessions and
across its supply base."
sipef,"tainable land-use practices while helping to prevent
The system focuses on detecting and verifying land- land degradation."
sipef,"emphasis on restoring and enhancing biodiversity
across its production landscapes."
sipef,"its operations, SIPEF has established dedicated
However, the total area affected increased from initiatives like the SBI programme, which supports
2.2 to 11 hectares, suggesting greater intensity or forest restoration and community-led stewardship."
sipef,"In line with this vision, As part of this strategy, SIPEF has set a 2024 target
SIPEF is advancing integrated land-use planning to establish at least one landscape-level example of
in Papua New Guinea to balance conservation and nature-positive oil palm cultivation and community
responsible development."
sipef,"with the Zoological Society of London (ZSL) and
The project also supports active reforestation and SINTAS, a local NGO in Indonesia, SBI also aims
agroforestry."
sipef,"to strengthen science-based conservation and
monitoring efforts."
sipef,"It represents an
E The sustainable use and protection of water
important step towards achieving carbon neutrality
and marine resources
by 2050 in line with EU goals, as it establishes clear
E The transition to a circular economy
definitions and criteria for what is considered to
E Pollution prevention and control
be sustainable."
sipef,"to achieving 100% certification across its palm
and banana operations, ensuring compliance with
Policies dedicated to respecting human rights in own workforce
SIPEF’s Human Rights Policy and all other afore- operations, these policies have been transposed
mentioned workforce-related policies apply to all into country-level policies."
sipef,"However, it has set a target to achieve 100% RSPO
certification for SIPEF’s own oil palm estates by
the financial year 2030."
sipef,"Through compliance monitoring,
trafficking, and child labour, across its operations industry engagement, and responsible employment
and supply chain."
sipef,"SIPEF has set a broader target to achieve 100%
RSPO certification for its own oil palm estates by
the financial year 2030, while its banana operations
are already fully certified."
sipef,"SIPEF has set a broader target to achieve 100%
RSPO certification for its own oil palm estates by
the financial year 2030, while its banana operations
are already fully certified."
sipef,"SIPEF acknowledges
equal employment laws while also implementing these realities and focuses on creating a safer, more
measures to reduce gender-related discrimination."
sipef,"certification across its operations, ensuring compli-
ance with RSPO, Rainforest Alliance and Fairtrade
The Equal Opportunity Policy ensures compliance standards, which require policies promoting
with anti-discrimination and equal employment non-discrimination, gender equality, and diversity."
sipef,"SIPEF has set a broader target to achieve 100%
RSPO certification for its own oil palm estates by
2030."
sipef,"These certification schemes, includ-
ing RSPO, Rainforest Alliance, and Fairtrade, rein-
force SIPEF’s commitments to non-discrimination,
equal opportunity, and gender inclusion."
sipef,"These efforts are supported by training, awareness
In line with its goal of 100% certification, SIPEF programmes, and ongoing engagement with union
complies with RSPO, Rainforest Alliance, and representatives."
sipef,"196 The connection to the world of sustainable tropical agriculture
S2: Workers in the value chain
Smallholder farmers cultivate approximately 40% SIPEF is committed to responsible and inclusive
of the land planted with oil palm and produce growth, ensuring smallholder suppliers receive
around 25–30% of the world's palm oil."
sipef,"SIPEF Integrated Annual Report 2024 Sustainability Statement 203
Impacts1
Increased livelihood security A key commitment for SIPEF, and a cornerstone of
for smallholders its sustainability strategy, is the ambition to achieve
Actual positive, long-term 100% sustainably certified and traceable products,
including its supply base."
sipef,Smallholder participation requirements for sustainably sourced palm oil.
sipef,"PPE is also provided
as well as SIPEF’s RPuP and OHS policies."
sipef,"tainability teams also engage regularly with local
communities through social impact assessments SIPEF has set a broader target to achieve 100%
and consultations as part of ongoing operational RSPO certification for its own oil palm estates by
monitoring."
sipef,"The RSPO P&C include requirements for
promoting smallholder inclusion, and protecting smallholder inclusion, community development
the rights of local and indigenous communities."
sipef,"for food gardening, supported with empty fruit
bunches (EFB) from SIPEF mills, which are used In Côte d’Ivoire, all employees are provided a
as organic fertiliser."
sipef,"successfully delivering the first
• Achieve food safety certification shipment of washed CPO with
for SIPEF’s ten palm oil mills in positive results
Indonesia and Papua New Guinea • Set a new target to achieve food
by 2028."
sipef,"ment to 100% sustainability certified products, By maintaining this high level of transparency
supported by a fully traceable supply chain."
sipef,"Eglin),
ing, provided that the volume of certified products SIPEF's subsidiary in Côte d'Ivoire, are certified
sold does not exceed the certified input."
sipef,"under the IP supply chain model in accordance with
Rainforest Alliance certification requirements."
sipef,"E www.cdp.net 246 The connection to the world of sustainable tropical agriculture
HEALTH AND SAFETY OF CONSUMERS
Ensuring the health and safety of consumers is a As a responsible producer, SIPEF prioritises
fundamental priority in the food industry."
sipef,"To minimise the risk of contamination and defects, SIPEF invests in advanced processing tech-
nologies that enhance product integrity and reduce impurities, including CPO washing facilities
for chloride removal."
sipef,"Beyond technical improvements, SIPEF actively engages with customers
and industry stakeholders to refine its quality management systems."
sipef,"To strengthen risk mitigation, SIPEF implements a robust traceability system, which assures its
customers and other stakeholders that all of its agricultural products can be traced back to certi-
fied, responsibly managed sources."
sipef,"SIPEF also invests in contaminant reduction, including CPO
washing processes to minimise chloride levels, as well as the control and reduction of MOSH and
MOAH."
sipef,"The Company also invests in enhancing its traceability systems, including
GeoSIPEF, to provide verifiable proof of sustainable sourcing, a key requirement under the
EUDR."
sipef,"SIPEF is already implementing low-contaminant
production processes, such as CPO washing to reduce chloride, making its products more attrac-
tive for premium food and cosmetic applications."
sipef,"With a commitment to 100% RSPO certification, including for
its smallholder suppliers, SIPEF ensures that all its palm oil is produced in line with the highest
sustainability standards."
sipef,"Through RSPO certification and tools like GeoSIPEF, the Company can demonstrate that it main-
tains full traceability of its palm oil supply chain, allowing customers and regulators to verify
compliance with its no deforestation, no peat, and no exploitation (NDPE) policies."
sipef,"As public scrutiny of palm oil remains high, SIPEF actively engages with industry associations,
policymakers, and sustainability initiatives to advocate for responsible palm oil production."
sipef,"By maintaining full compliance with global sustainability standards, leveraging innovation for
transparency, and reinforcing its market position as a trusted supplier of more sustainable palm
oil, SIPEF ensures that it remains resilient against industry-wide reputational challenges."
sipef,"SIPEF’s approach:
SIPEF proactively addresses the increasing scrutiny on contaminants in palm oil by investing in
advanced quality control processes and technologies and strengthening its collaboration with
customers to meet evolving industry standards."
sipef,"The Foodexpert platform to provide transparent pesti-
Group has completed the conversion of all mill cide management, submitting its plant protection
machinery to H1 food-grade lubricants, which are products list (PPPL) for compliance verification
free from potentially harmful mineral oil saturated against UK and EU MRL regulations."
sipef,"SIPEF adheres to a no deforestation, no peat, no exploitation (NDPE) policy, ensuring that all
agricultural developments comply with strict land use and conservation guidelines."
sipef,"SIPEF
ensures 100% of its palm oil operations are RSPO compliant and maintains Rainforest Alliance
and Fairtrade certifications for bananas, demonstrating compliance with global environmental
standards."
sipef,"SIPEF has set a GHG emission reduction target of 28% by 2030 and actively invests
in methane capture facilities, renewable energy, and waste management systems."
sipef,"The Company
integrates best management practices to minimise pollution, including the use of organic
fertilisers, water conservation strategies, and waste recycling programmes."
sipef,"The Company maintains clear sustainability policies, including
NDPE commitments, human rights protections, and RSPO, Fairtrade, and Rainforest Alliance
certifications, which reinforce SIPEF’s responsible business conduct."
sipef,"The Company actively supports smallhold-
ers in achieving certification, reinforcing SIPEF’s role in responsible supply chain management."
sipef,"To foster a culture of
integrity, SIPEF conducts regular training programmes to raise awareness about bribery risks
and reinforce ethical decision-making at all levels of the organisation."
sipef,"The WACC is increased and decreased with one
percent."
sipef,"Environmental risk
The Group manages key environmental-related risks that are linked with land use and conservation through its group-wide
commitment to ‘no deforestation’ and ‘no new development in peat areas’ (NDP)."
sipef,"Annexes 406 The connection to the world of sustainable tropical agriculture
Annex 1 – Sustainability targets
and achievements
ENVIRONMENTAL INFORMATION
Focus area: Environmental stewardship
Goals: GHG emissions reduction and long-term climate resilience
Approach: To implement a comprehensive climate transition plan that integrates sustainable energy
practices, circular economy principles, optimised land use, and water resource management, while
protecting biodiversity and fostering a sustainable, low-carbon future for the oil palm industry."
sipef,"**
1.7 Installation of 0 Set in 1 Packing 2025 CIV New target
water recycling FY2024 station
basin at one
banana packing
station.**
Focus area: Environmental stewardship
Goal: Minimise impacts on natural resources and the environment
Approach: To safeguard natural resources through optimised land use, efficient water management,
waste and pollution reduction, and the re-use of by-products
BASELINE BASE TARGET TARGET TARGET
NO."
sipef,"Water from banana packing stations is either reused
for irrigation or safely discharged."
sipef,"Corporate Sustainability Reporting Directive (CSRD) -- The
Bio-CNG -- Compressed natural gas produced from biogas, used CSRD is a European Union legislation that amends the exist-
as a cleaner energy alternative."
sipef,"Circular economy -- A model of production and consumption to
minimise waste and maximise resource efficiency by keeping Do No Significant Harm (DNSH) -- A principle requiring that any
materials, products, and resources in use for as long as possible."
sipef,"This includes measures like improving an activity as ‘green’, ensuring that environmental benefits in
infrastructure, adopting sustainable agriculture, and devel- one area do not come at the expense of others."
sipef,"Double Materiality (DM) -- A reporting principle that considers
Climate change mitigation -- Efforts to reduce or prevent green- both the impact of sustainability matters on a company’s finan-
house gas emissions to limit global warming."
sipef,"This includes cial performance (financial materiality) and the company’s
actions like increasing energy efficiency, transitioning to renew- impacts on people and the environment (impact materiality)."
sipef,"tion introduced by the European Union aimed at preventing
deforestation and forest degradation linked to products sold GLOBALG.A.P."
sipef,"others, carbon dioxide and methane, that contribute to the
greenhouse effect and can lead to changes in temperature."
sipef,"The methodology was International Sustainability and Carbon Certification is an
developed with the aim of ensuring a widely accepted practical, independent certification scheme designed to demonstrate
transparent, robust and scientifically credible approach to that biomass and bioenergy, and other biomass-based products
implement commitments to halt deforestation in the tropics, used as ingredients by the feed, food and chemical industries,
while ensuring the rights and livelihoods of local peoples are comply with requirements related to sustainability and GHG
respected."
sipef,"The scheme aims to reduce GHG emissions; ensure
that biomass is not produced on land with high carbon stock or
High Conservation Value (HCV) -- The High Conservation Value high biodiversity; ensure the application of good agricultural
concept was originally developed by the Forest Stewardship practices related to soil, water and air; and finally, ensure
Council (FSC) in 1999 for use in forest management certi- respect for human, labour and land rights."
sipef,"and Forestry that serves as the country’s environmental per-
formance rating program for industries, aimed at improving
No Deforestation, No Peat, No Exploitation (NDPE) -- A sustaina- corporate environmental practices."
sipef,"bility commitment in the palm oil and other commodity sectors
aimed at eliminating deforestation, peatland development, and Rainforest Alliance -- The Rainforest Alliance is an international
exploitation of people and communities from supply chains."
sipef,"non-profit organisation working at the intersection of business,
NDPE policies require producers to conserve natural forests, agriculture and forestry to make responsible business the
avoid planting on peat soils of any depth, and respect human new normal, and awarding certifications."
sipef,"on improving soil health, biodiversity, water cycles, and carbon
sequestration while maintaining or increasing agricultural
Oil Palm Growers Association (OPIC) -- An association that sup- productivity."
sipef,"to promote policies that improve the economic and social
well-being of people."
sipef,"With its high Roundtable on Sustainable Palm Oil (RSPO) -- RSPO is a non-profit
organic content, POME is a source with great potential for biogas global certification scheme that unites stakeholders from the
production and/or composting."
sipef,"When properly applied, these criteria can help to
imise exposure to workplace hazards, such as gloves, goggles, minimise the negative impacts of palm oil cultivation on the
helmets, and masks."
sipef,"The RSPO members have committed to produce, source and/
Plasma -- Cooperative programs for plantation development or use sustainable palm oil certified by the RSPO."
sipef,certified products from different certified sources.
