claim,deforestation,traceability,ndpe,peat,deadline,strength,specificity,specificity_score
"For example, the PKS sold to some Established a new production plant at IOI corporation community and Getting the best value for what we spend
of our third-party buyers have been used as Acidchem in Prai, able to produce 350 MT/ Day
the environment,
activated carbon in filtration process.",False,False,False,False,,soft,spec,0.839342474937439
"Year (Best in Green, Education Assessment
and Social Initiatives) under
the Conglomerate – Plantation
category at the Sustainability Our CDP score for Forest has increased from C to B and
Won Best Corporate Responsibility IOI has won the 2023 ASEAN Innovation CDP
and CSR Malaysia Awards scored C for both Water Security and Climate Change.",False,False,False,False,,soft,spec,0.6198754906654358
"EUDR commitments are communicated to our
and Prosperity) plus Partnership, are driven by
- Indonesia: 1 Mill RSPO MB certified
suppliers through suppliers’ engagement such as the
our conviction to not only meet the needs of the
• 99% Malaysian and 73% Indonesian Estates RSPO Tools for Transformation (“T4T”) as we aim for a
present without compromising that of the next Certified
deforestation-free supply chain.",True,False,False,False,,hard,spec,0.5616509914398193
"IOI GROuP SuSTAINABILITy POLICy (“IOISP”) KEy COMMITMENTS
• 100% of our Oleochemical operations are certified This year, IOI recorded one fine from the Department of
This year, IOI has revised its IOISP, formerly known as the SPOP, to incorporate new or enhanced sustainability ISO45001:2018 Environment (“DOE”) and one fine from Department of
requirements, our target to achieve Net Zero by 2040 as well as to now include our business operations beyond palm oil.",False,False,False,False,,hard,spec,0.7691908478736877
"• Implement decarbonisation programme to progressively reduce GHG emissions in line with • IOI Oleochemical and PCEO completed ISO14064- introduced and implemented an additional Safe Operating
IOI’s Pathway to Net-Zero by 2040
1:2018 verification for FY2024 GHG emissions while Procedure to prevent reoccurrence of similar incidents
Environment • Protection of natural ecosystem and promote circularity IOI Edible Oils (“IEO”) completed verification for in the future.",False,False,False,False,,hard,spec,0.6621749401092529
"performance to achieve our net zero target (Scopes 1, 2, and 3) by 2040.",False,False,False,False,,hard,spec,0.788668692111969
"Page 48
• Digital grievance platform via IOI Mesra for plantation workers for transparent communication Page 71 Furthermore, IOI is also installing the boiler feed system to optimise power generation from
and efficient grievance handling the methane captured
• Social Service Provider contracted by IOI, completed the fourth cycle of assessment on Page 79 • Treated dried POME residues are recycled and used as organic fertilisers in our plantation.",False,False,False,False,,soft,spec,0.6590530276298523
"Our next mid-term goal is to achieve
carbon neutrality by 2030 in Scopes 1
and 2.",False,False,False,False,2030,soft,spec,0.6822023391723633
"Ultimately, we hope to reach our
challenging and ambitious long-term
goal of Net Zero carbon intensity by 2040
in Scopes 1, 2 and 3.",False,False,False,False,,hard,spec,0.5438151955604553
"For our Scope 3, currently the highest contribution is attributed
net zero for carbon from our supply chain.",False,False,False,False,,hard,spec,0.8193649649620056
"For example, IOI has diversified its investments
achieving net zero by 2040.",False,False,False,False,,hard,spec,0.7920027375221252
"Going beyond just commitment to NDPE, IOI has taken a bold step by
peatlands and planted areas
No Deforestation, No New Planting on applying nature-based solutions to plan for large-scale forest tree planting
Water Increasing Peninsular • Increase the amount of water recycled and • Developing a water stress resistant oil
Peat, as part of NDPe with careful consideration to the ecosystem in existing conservation
stress Malaysia reused in manufacturing operations palm variety through research
areas, which are primarily shrublands.",True,False,True,True,,hard,spec,0.6322133541107178
"Projects
sequestration • Crop sequestration removal carbon sinks, absorbing carbon dioxide initiated include Achieving Coexistence with Elephants, the Laran Tree
Planting Project, and more.",False,False,False,False,,soft,spec,0.5788488984107971
"Smart energy systems
Innovation of Planting Materials Through Research were also installed at IOIEO, reducing As part of part of our Pathway to Net Zero and top 10 our material matters,
the energy required for renewable energy addressing supply chain management together with responsible sourcing
Our Pathway to Net Zero involves the use of innovative planting materials generation by 19-80 kW, which translates are vital in reducing IOI’s Scope 3 emissions.",False,False,False,False,,hard,spec,0.8489382863044739
"This biogas is burned directly 6.5 MW co-generation facility, which further
IOI's strategies for managing supply chain emissions are categorised
in the boiler as a renewable source to generate power and heat required reduces energy intensity by an estimated
for the operation.",False,False,False,False,,soft,spec,0.7511110901832581
"Ultimately, supply chain mapping
Facilities at IOI Oleochemicals have installed solar panels, cogeneration our methane capture plant to generate
fosters a more strategic and focused approach to reducing
facilities, and solar thermal systems to reduce energy usage and their and trap biogas for electricity, thereby
Scope 3 emissions, contributing to a our broader decarbonisation
Scope 2 GHG emissions.",False,False,False,False,,soft,spec,0.6437469720840454
This is accomplished through both Feed-in-Tariff avoiding methane emissions from POME.,False,False,False,False,,soft,spec,0.7344123721122742
"Starting the journey to reduce
paper products while preventing emissions
operational Scope 1 and 2 emissions, steam and heat consumption
from decomposition.",False,False,False,False,,soft,spec,0.5375156402587891
"In 2023, we took our commitment a step further by committing to the
Science-Based Target initiative (“SBTi”) for both the Forest, Land and
Agriculture (“SBTi-FLAG”) and Non-FLAG sectors, as well as SBTi
net zero target.",False,False,False,False,,hard,spec,0.7052688598632812
"IOI will continue our efforts to reduce
GHG emissions by further leveraging our nature-based and engineered
solutions.",False,False,False,False,,soft,spec,0.5225440263748169
"This includes enhancing rehabilitation and tree planting efforts
in our conservation areas and installing more methane capture facilities.",False,False,False,False,,soft,spec,0.6195454597473145
"These will play a crucial role in achieving carbon neutral by 2030 and
net zero by 2040.",False,False,False,False,2030,hard,spec,0.6012154817581177
"This 2
bring our total crop sequestration to
1.7 million tCO e, which is sufficient to
2
completely neutralise our emissions
from land conversion.",False,False,False,False,,soft,spec,0.9369333386421204
"This year, the division continues to reduce
59.7%
11.0%
Mill Credits its emissions through automation, reducing power
236,051 consumption and improving efficiency.",False,False,False,False,,soft,spec,0.8990095853805542
"The most prominent
renewable and alternative source of energy from fossil emissions contribution is from Land Conversion in our
Plantations.",False,False,False,False,,soft,spec,0.6335709691047668
"Nonetheless, we are still actively seeking Our Scope 3 emissions for IOI Oleochemical and IOI
Sequestration from our crops and forested conservation ways to reduce our emissions by increasing efficiency, Pan-Century Edible Oils have reduced significantly this
areas, together with mill credits are depicted in Chart 2.",False,False,False,False,,soft,spec,0.5741563439369202
"At our estates, in line with RSPO’s 1,128 hectares of organic oil palm was both RSPO and organic-certified.",False,False,False,False,,soft,spec,0.8065900802612305
"To counter this, IOI plans to cultivate project in the Pamol Kluang region IOI Research Center and IOI Palm Biotech currently leads our efforts to achieve
dedicated to producing organic palm
circularity and waste reduction through the land application
beneficial insects and releases them as part of the IPM our strategic priority of increasing yield through research.",False,False,False,False,,soft,spec,0.6026238203048706
"We are the first organic certified
of POME and EFB, recycling OPT and more.",False,False,False,False,,soft,spec,0.6906827092170715
"Referencing our target of using elite clonal palms in 50% of our replanting
against possible fertiliser leaching into our waterways, Ultimately, we hope to improve biodiversity indices by 25% In this project, our approach focuses materials, thus far, we have achieved a utilisation rate of 33% in Peninsular
our operations have also designated non-chemical buffer within three years with our ongoing annual ecosystem health on enriching soil biodiversity and Malaysia and 15% in Sabah.",False,False,False,False,,soft,spec,0.9302762746810913
"As of FY2024, we have planted 3,131 hectares of coconuts, thereby reducing their environmental
at our estates, in line with RSpo’s principle 568 hectares of bananas, 49 hectares of pineapples, and 87 impact and promoting a healthier
hectares of durians.",False,False,False,False,,soft,spec,0.9341381192207336
"Waste materials were converted into fertilisers for soil management or raw materials
for other industries, while wastewater was recycled and reused in production.",False,False,False,False,,soft,spec,0.5469595193862915
"• Using EFB for mulching in the plantations instead of • Worked with third-parties to reuse wastes as
being disposed as waste feedstocks for the cement industry and feedstocks
• Installing biogas facilities to process palm oil mill for biogas production
effluent and converting methane emissions into • Reused water from operations to feed into cooling
electricity towers that function as coolants to reduce the
• Adopting new process technology e.g.",False,False,False,False,,soft,spec,0.8136512637138367
"chemical plant
pre-treatment to reduce chemical waste • Reusing empty fertiliser bags for waste collection
• Using a thermal oil system for heating instead of purposes
water heating systems in IOI Palm Wood • Distribution of used computer to Humana schools in
• Using solar thermal systems to heat water instead of Sabah
fossil fuel for heating
• Sludge dryer has been installed to reduce water
• Working with third party customers to use byproducts content in sludge by more than 60% thus reducing
for the generation of biogas, fertilisers and grease to sludge waste quantity
reduce bio-waste disposal • Employees are encouraged to bring their own food
• Convert unused OPT into eco-friendly, sustainable and drink container when purchasing food in the
and high-performance palm wood panels for furniture cafeteria
and building industries
• Repurpose used tires by transforming them into
creative and functional landscaping features, • Installing heat exchanger to recover heat from the
enhancing the aesthetic appeal and liveability of HRSG continuous blowdown to heat up reverse
workers' housing areas osmosis water
• Joint venture established between IOI Paper Pulp • Recover waste heat from thermal oil heater
Sdn Bhd.",False,False,False,False,,soft,spec,0.8530547022819519
"And Nextgreen Global Berhad to develop economiser and generate chilled water for packing
zero-waste paper pulp plant with EFB as the raw plant through the use of a vapor absorption chiller
material • Rainwater harvesting at housing area for cleaning,
gardening, or non-potable use
• Recyclable items (e.g., paper and plastic) were sent
for recycling
• Collaboration with Tetra Pak to recycle used
beverage cartons in plantations
• Recycling of effluent wastewater through the reverse
osmosis process to recoup water for non-critical use
knihteR
riapeR
Empowering Sustainable Agriculture, Managing Natural Resources,
58 IOI CoRpoRaTIon BeRhaD • SUSTAINABILITY REPORT 2024 Safeguarding and Enhancing Biodiversity 59
WAStE MANAgEMENt aCTIvITy DRIven peRfoRManCe anD IMpaCT
ManageMenT appRoaCh plantation and Resource-based Manufacturing Division
IOI's waste management plan and strategies are guided In the plantation, the practice of 7Rs to manage our
by the IOI Environmental Management Guidelines.",False,False,False,False,,hard,spec,0.6182484030723572
"The main non-hazardous waste generated in the
also part of IOI’s CCAi strategy to reduce GHG emissions plantation are largely biomass in nature, for example OPT,
from POME.",False,False,False,False,,soft,spec,0.6830213069915771
"We monitor scheduled waste, solid
achieve our net zero target.",False,False,False,False,,hard,spec,0.7061086297035217
"These wastes are stored biogas, fertilisers, and grease, thus minimising bio-waste
appropriately and disposed of through a licensed agent disposal.",False,False,False,False,,soft,spec,0.5024785399436951
"metrics
This circular approach to managing waste helps us reduce Collaboration with Tetra pak to Collect and Recycle
ManageMenT appRoaCh
emissions from the natural decomposition of OPT and used Beverage Cartons (“uBC”)
mitigate plant disease outbreaks by harvesting the OPT.",False,False,False,False,,soft,spec,0.5297479033470154
"In terms of the governance of water-related matters, aCTIvITy DRIven peRfoRManCe anD IMpaCT
In addition, the utilisation of this repurposed OPT can IOI has partnered with Tetra Pak since October 2022
the Group’s water stewardship falls under the purview of
serve as an alternative wood source to that derived by to enhance the recycling and sorting of UBC across its our BSC and senior management team.",False,False,False,False,,soft,spec,0.5764753818511963
"assessment, we identified manufacturing facilities in
also locks sequestered carbon into the products, aiding recycling.",False,False,False,False,,soft,spec,0.5962737202644348
"commencing production in 2023, IOIPW has completed beverage carton recycling awareness programmes, performance and transparency.",False,False,False,False,,soft,spec,0.6114846467971802
"In efforts to reduce our water withdrawal, we will
Conventionally, EFB was treated as a waste product to
continue our efforts to embark on water conservation
be mulched and applied in estates as organic fertiliser.",False,False,False,False,,soft,spec,0.6848182082176208
"In Through this project, over 18,000 UBCs were collected with
pursuit of continual innovation, IOI Paper Pulp Sdn Bhd recycling proceeds distributed to participating employees initiatives as communicated in our IOI Group Water Policy.",False,False,False,False,,soft,spec,0.9079287648200989
"To counter this, we practice
convert waste into valuable raw materials while avoiding a habit of recycling and culture of waste reduction among land irrigation of palm oil mill effluent and EFB mulching,
emissions generated from decomposition of EFB in the employees.",False,False,False,False,,soft,spec,0.6582626104354858
"Not only does this reduces soil erosion and water pollution
150,000 metric tonnes of paper pulp per annum.",False,False,False,False,,soft,spec,0.8395200967788696
"Thus, the
joint venture is well-positioned to provide an alternative to The event also witnessed the prize-giving ceremony for the Tetrapak engagement with IOI's employees in water bodies, cover crops increase moisture retention,
conserving green water for crops to use.",False,False,False,False,,soft,spec,0.5604087114334106
solutions to reduce our water footprint.,False,False,False,False,,soft,spec,0.5179183483123779
"We make full use of POME residues and IOI has embarked on a project in collaboration with includes:
will remain of high importance as IOI moves towards biomass waste, such as EFB and frond heaps, to enhance our customer, Bunge Loders Croklaan, to carry out a
decarbonisation.",False,False,False,False,,soft,spec,0.7321420311927795
"This process includes cleaning the
are actively managing 3,849.75 ha of peat areas that and ISO14044, which specifies requirements and fostering strong partnerships with our suppliers, we aim to
containers using the triple rinse method and returning them
were previously planted with oil palm while monitoring guidelines for LCA and inventory analysis.",False,False,False,True,,soft,spec,0.6344208121299744
"Biosphere project in the lower Kinabatangan areas, that was aimed to integrate
maintenance and enrichment planting along our riparian and forest buffer to
minimise edge effects while conserving native wildlife and vegetation.",False,False,False,False,,soft,spec,0.5804705023765564
"This collaboration is a vital step in our laran Tree planting
Bukit Leelau operations, we supported the initiative as part of a multistakeholder
procedures to reduce HECs.",False,False,False,False,,soft,spec,0.6333650350570679
"key supply chain partners, Nestlé, to reforest land.",False,False,False,False,,soft,spec,0.5183316469192505
"These initiatives not only support biodiversity
The South Ketapang Landscape initiative was first launched in October 2018 supplementary food source for the large The project focuses on planting native tree enhancement and ecosystem improvement but also contribute to increased
to promote biodiversity conservation, strengthen fire, water and peat mammals, reducing their need to enter human species that are well-adapted to the local carbon sequestration, helping us to achieve our climate goals.",False,False,False,True,,soft,spec,0.7306120991706848
